Date,House,anemia,arrhythmia,asthma,bacteria,biopsy,cancer,cardiomyopathy,cholesterol,coma,diabetes,embolism,encephalitis,epilepsy,hypertension,immunodeficiency,infection,leukemia,lupus,malaria,pneumonia,sepsis,stroke,tumor,Average
2004-11,4,61,52,56,59,55,95,53,68,17,80,23,50,53,33,8,48,90,43,24,20,32,50,30,47.82608695652174
2004-12,6,55,50,46,45,49,82,47,60,14,71,21,42,47,34,8,47,88,41,27,20,26,45,26,43.08695652173913
2005-01,6,58,55,55,50,55,86,50,70,17,71,20,45,48,34,8,49,82,43,32,24,29,43,28,45.73913043478261
2005-02,7,67,60,50,59,53,90,62,72,22,76,23,51,51,39,11,50,89,47,30,25,33,51,31,49.65217391304348
2005-03,11,63,53,52,49,54,82,60,73,29,77,24,44,52,37,9,49,89,45,30,23,31,44,31,47.82608695652174
2005-04,14,67,57,55,53,53,86,63,69,20,78,24,48,50,35,11,50,98,46,31,19,33,47,30,48.82608695652174
2005-05,17,60,54,47,41,54,81,51,64,20,75,23,48,45,33,10,50,89,43,29,16,27,46,27,44.91304347826087
2005-06,8,59,51,46,35,57,81,55,63,15,76,23,43,47,31,8,52,77,47,23,13,27,45,29,43.608695652173914
2005-07,6,56,56,40,30,54,76,57,65,15,68,21,46,42,31,7,50,70,42,20,11,26,48,30,41.78260869565217
2005-08,8,56,53,40,29,56,83,54,66,16,69,23,54,40,32,6,45,73,43,16,11,26,43,29,41.869565217391305
2005-09,17,59,50,44,44,56,77,53,64,15,67,21,68,46,31,8,48,73,41,18,14,27,43,29,43.30434782608695
2005-10,12,58,51,45,47,53,86,59,71,16,74,23,49,46,32,8,49,78,50,21,17,33,44,27,45.08695652173913
2005-11,12,59,47,48,47,49,75,56,64,15,74,23,44,46,34,7,45,76,38,28,18,30,45,27,43.26086956521739
2005-12,11,52,47,42,37,46,67,44,54,15,63,20,37,43,31,7,49,74,38,21,19,25,46,24,39.17391304347826
2006-01,19,55,53,45,43,52,75,54,67,20,76,23,39,44,40,8,53,76,40,22,19,30,61,28,44.47826086956522
2006-02,16,60,59,49,53,53,75,56,72,18,74,23,42,48,40,9,50,79,43,24,21,34,50,28,46.08695652173913
2006-03,14,57,55,50,48,52,85,56,73,18,78,25,48,48,40,8,50,82,42,25,20,32,52,28,46.608695652173914
