Category: All categories

Month,House: (United States)
2004-11,4
2004-12,6
2005-01,6
2005-02,7
2005-03,11
2005-04,14
2005-05,17
2005-06,8
2005-07,6
2005-08,8
2005-09,17
2005-10,12
2005-11,12
2005-12,11
2006-01,19
2006-02,16
2006-03,14
2006-04,16
2006-05,27
2006-06,17
2006-07,15
2006-08,22
2006-09,35
2006-10,23
2006-11,27
2006-12,24
2007-01,29
2007-02,26
2007-03,25
2007-04,27
2007-05,36
2007-06,19
2007-07,14
2007-08,16
2007-09,32
2007-10,42
2007-11,40
2007-12,28
2008-01,28
2008-02,35
2008-03,19
2008-04,23
2008-05,40
2008-06,21
2008-07,18
2008-08,22
2008-09,57
2008-10,54
2008-11,56
2008-12,64
2009-01,59
2009-02,48
2009-03,44
2009-04,100
2009-05,66
2009-06,30
2009-07,25
2009-08,30
2009-09,70
2009-10,69
2009-11,57
2009-12,43
2010-01,45
2010-02,42
2010-03,40
2010-04,38
2010-05,45
2010-06,23
2010-07,21
2010-08,28
2010-09,42
2010-10,38
2010-11,35
2010-12,27
2011-01,28
2011-02,31
2011-03,34
2011-04,31
2011-05,37
2011-06,18
2011-07,15
2011-08,16
2011-09,22
2011-10,41
2011-11,26
2011-12,19
2012-01,21
2012-02,24
2012-03,20
2012-04,21
2012-05,46
2012-06,15
2012-07,11
2012-08,10
2012-09,9
2012-10,8
2012-11,8
2012-12,8
2013-01,9
2013-02,8
2013-03,8
2013-04,7
2013-05,7
2013-06,7
2013-07,8
2013-08,8
2013-09,7
2013-10,6
2013-11,6
2013-12,7
2014-01,7
2014-02,7
2014-03,6
2014-04,25
2014-05,20
2014-06,16
2014-07,14
2014-08,12
2014-09,10
2014-10,8
2014-11,8
2014-12,9
2015-01,10
2015-02,8
2015-03,8
2015-04,8
2015-05,8
2015-06,8
2015-07,8
2015-08,8
2015-09,7
2015-10,8
2015-11,9
2015-12,10
2016-01,12
2016-02,11
2016-03,10
2016-04,9
2016-05,8
2016-06,8
2016-07,8
2016-08,7
2016-09,7
2016-10,7
2016-11,11
2016-12,12
2017-01,13
2017-02,12
2017-03,12
2017-04,9
2017-05,8
2017-06,7
2017-07,8
2017-08,7
2017-09,8
2017-10,8
2017-11,7
2017-12,7
2018-01,8
2018-02,8
2018-03,9
2018-04,11
2018-05,13
2018-06,12
2018-07,12
2018-08,15
2018-09,14
2018-10,11
2018-11,12
2018-12,12
2019-01,13
2019-02,11
2019-03,13
2019-04,12
2019-05,13
2019-06,11
2019-07,12
2019-08,12
2019-09,12
2019-10,11
2019-11,11
2019-12,12
2020-01,13
2020-02,12
2020-03,12
2020-04,15
2020-05,14
2020-06,15
2020-07,17
2020-08,14
2020-09,14
2020-10,12
2020-11,12
2020-12,13
2021-01,14
2021-02,13
2021-03,11
2021-04,12
2021-05,12
2021-06,12
2021-07,12
2021-08,13
2021-09,12
2021-10,11
2021-11,11
2021-12,11
2022-01,13
2022-02,12
2022-03,11
2022-04,11
2022-05,12
2022-06,12
2022-07,13
2022-08,13
2022-09,14
2022-10,15
2022-11,13
2022-12,12
2023-01,13
2023-02,11
2023-03,10
2023-04,12
2023-05,19
2023-06,12
2023-07,10
2023-08,11
2023-09,11
2023-10,11
2023-11,12
2023-12,13
2024-01,13
2024-02,12
2024-03,12
2024-04,13
2024-05,15
2024-06,15
2024-07,15
2024-08,15
2024-09,17
2024-10,19
2024-11,19
2024-12,17
