Category: All categories

Month,Anemia: (United States)
2004-11,61
2004-12,55
2005-01,58
2005-02,67
2005-03,63
2005-04,67
2005-05,60
2005-06,59
2005-07,56
2005-08,56
2005-09,59
2005-10,58
2005-11,59
2005-12,52
2006-01,55
2006-02,60
2006-03,57
2006-04,62
2006-05,54
2006-06,54
2006-07,54
2006-08,54
2006-09,58
2006-10,58
2006-11,53
2006-12,47
2007-01,50
2007-02,54
2007-03,59
2007-04,57
2007-05,55
2007-06,53
2007-07,55
2007-08,50
2007-09,58
2007-10,67
2007-11,60
2007-12,49
2008-01,58
2008-02,60
2008-03,63
2008-04,65
2008-05,60
2008-06,60
2008-07,59
2008-08,59
2008-09,62
2008-10,67
2008-11,64
2008-12,54
2009-01,59
2009-02,68
2009-03,66
2009-04,69
2009-05,64
2009-06,67
2009-07,61
2009-08,57
2009-09,66
2009-10,65
2009-11,69
2009-12,60
2010-01,63
2010-02,72
2010-03,73
2010-04,68
2010-05,71
2010-06,65
2010-07,64
2010-08,64
2010-09,67
2010-10,71
2010-11,71
2010-12,58
2011-01,62
2011-02,68
2011-03,73
2011-04,67
2011-05,63
2011-06,63
2011-07,62
2011-08,63
2011-09,64
2011-10,66
2011-11,65
2011-12,57
2012-01,68
2012-02,72
2012-03,70
2012-04,71
2012-05,60
2012-06,58
2012-07,60
2012-08,59
2012-09,63
2012-10,66
2012-11,63
2012-12,53
2013-01,59
2013-02,67
2013-03,64
2013-04,66
2013-05,59
2013-06,59
2013-07,61
2013-08,61
2013-09,63
2013-10,67
2013-11,65
2013-12,56
2014-01,60
2014-02,65
2014-03,68
2014-04,69
2014-05,61
2014-06,63
2014-07,62
2014-08,59
2014-09,65
2014-10,68
2014-11,64
2014-12,55
2015-01,63
2015-02,67
2015-03,70
2015-04,71
2015-05,65
2015-06,61
2015-07,65
2015-08,63
2015-09,65
2015-10,70
2015-11,65
2015-12,63
2016-01,62
2016-02,70
2016-03,81
2016-04,69
2016-05,67
2016-06,61
2016-07,59
2016-08,57
2016-09,64
2016-10,66
2016-11,70
2016-12,65
2017-01,70
2017-02,82
2017-03,83
2017-04,79
2017-05,74
2017-06,72
2017-07,70
2017-08,73
2017-09,75
2017-10,82
2017-11,68
2017-12,69
2018-01,78
2018-02,83
2018-03,69
2018-04,66
2018-05,61
2018-06,60
2018-07,58
2018-08,62
2018-09,63
2018-10,69
2018-11,62
2018-12,58
2019-01,67
2019-02,71
2019-03,68
2019-04,71
2019-05,69
2019-06,66
2019-07,69
2019-08,68
2019-09,68
2019-10,69
2019-11,67
2019-12,60
2020-01,68
2020-02,69
2020-03,60
2020-04,55
2020-05,57
2020-06,66
2020-07,62
2020-08,64
2020-09,67
2020-10,72
2020-11,61
2020-12,67
2021-01,70
2021-02,80
2021-03,83
2021-04,78
2021-05,75
2021-06,74
2021-07,73
2021-08,71
2021-09,78
2021-10,80
2021-11,77
2021-12,71
2022-01,81
2022-02,92
2022-03,95
2022-04,91
2022-05,85
2022-06,79
2022-07,78
2022-08,81
2022-09,83
2022-10,85
2022-11,82
2022-12,77
2023-01,85
2023-02,95
2023-03,100
2023-04,95
2023-05,94
2023-06,94
2023-07,92
2023-08,88
2023-09,95
2023-10,99
2023-11,98
2023-12,88
2024-01,93
2024-02,98
2024-03,91
2024-04,91
2024-05,87
2024-06,85
2024-07,87
2024-08,85
2024-09,88
2024-10,95
2024-11,82
2024-12,85
