Category: All categories

Month,Heart arrhythmia: (United States)
2004-11,52
2004-12,50
2005-01,55
2005-02,60
2005-03,53
2005-04,57
2005-05,54
2005-06,51
2005-07,56
2005-08,53
2005-09,50
2005-10,51
2005-11,47
2005-12,47
2006-01,53
2006-02,59
2006-03,55
2006-04,74
2006-05,53
2006-06,47
2006-07,51
2006-08,48
2006-09,50
2006-10,49
2006-11,48
2006-12,44
2007-01,50
2007-02,56
2007-03,54
2007-04,47
2007-05,48
2007-06,44
2007-07,46
2007-08,48
2007-09,50
2007-10,55
2007-11,54
2007-12,45
2008-01,51
2008-02,54
2008-03,52
2008-04,51
2008-05,49
2008-06,48
2008-07,50
2008-08,47
2008-09,53
2008-10,55
2008-11,56
2008-12,53
2009-01,56
2009-02,59
2009-03,60
2009-04,57
2009-05,57
2009-06,58
2009-07,59
2009-08,58
2009-09,59
2009-10,61
2009-11,57
2009-12,50
2010-01,57
2010-02,61
2010-03,61
2010-04,57
2010-05,58
2010-06,53
2010-07,55
2010-08,48
2010-09,54
2010-10,55
2010-11,52
2010-12,47
2011-01,55
2011-02,54
2011-03,59
2011-04,52
2011-05,48
2011-06,51
2011-07,46
2011-08,51
2011-09,51
2011-10,54
2011-11,52
2011-12,46
2012-01,54
2012-02,64
2012-03,60
2012-04,60
2012-05,51
2012-06,50
2012-07,50
2012-08,50
2012-09,57
2012-10,61
2012-11,58
2012-12,51
2013-01,58
2013-02,67
2013-03,61
2013-04,62
2013-05,54
2013-06,52
2013-07,53
2013-08,52
2013-09,58
2013-10,61
2013-11,56
2013-12,52
2014-01,57
2014-02,68
2014-03,59
2014-04,59
2014-05,57
2014-06,52
2014-07,53
2014-08,52
2014-09,60
2014-10,60
2014-11,54
2014-12,52
2015-01,56
2015-02,63
2015-03,62
2015-04,60
2015-05,58
2015-06,55
2015-07,55
2015-08,56
2015-09,59
2015-10,62
2015-11,55
2015-12,54
2016-01,53
2016-02,62
2016-03,62
2016-04,58
2016-05,54
2016-06,52
2016-07,49
2016-08,50
2016-09,53
2016-10,54
2016-11,55
2016-12,55
2017-01,64
2017-02,74
2017-03,88
2017-04,66
2017-05,65
2017-06,64
2017-07,63
2017-08,62
2017-09,63
2017-10,73
2017-11,61
2017-12,59
2018-01,66
2018-02,73
2018-03,67
2018-04,69
2018-05,68
2018-06,64
2018-07,65
2018-08,69
2018-09,73
2018-10,77
2018-11,72
2018-12,66
2019-01,75
2019-02,79
2019-03,78
2019-04,73
2019-05,69
2019-06,63
2019-07,65
2019-08,65
2019-09,68
2019-10,72
2019-11,69
2019-12,62
2020-01,69
2020-02,78
2020-03,65
2020-04,70
2020-05,66
2020-06,68
2020-07,67
2020-08,64
2020-09,77
2020-10,79
2020-11,68
2020-12,71
2021-01,74
2021-02,85
2021-03,83
2021-04,89
2021-05,75
2021-06,73
2021-07,74
2021-08,71
2021-09,80
2021-10,77
2021-11,73
2021-12,68
2022-01,75
2022-02,100
2022-03,98
2022-04,88
2022-05,75
2022-06,72
2022-07,72
2022-08,77
2022-09,85
2022-10,87
2022-11,83
2022-12,80
2023-01,97
2023-02,89
2023-03,88
2023-04,85
2023-05,81
2023-06,78
2023-07,75
2023-08,76
2023-09,81
2023-10,88
2023-11,81
2023-12,73
2024-01,82
2024-02,96
2024-03,88
2024-04,86
2024-05,77
2024-06,67
2024-07,74
2024-08,76
2024-09,84
2024-10,92
2024-11,79
2024-12,80
