Category: All categories

Month,Asthma: (United States)
2004-11,56
2004-12,46
2005-01,55
2005-02,50
2005-03,52
2005-04,55
2005-05,47
2005-06,46
2005-07,40
2005-08,40
2005-09,44
2005-10,45
2005-11,48
2005-12,42
2006-01,45
2006-02,49
2006-03,50
2006-04,46
2006-05,42
2006-06,39
2006-07,34
2006-08,34
2006-09,38
2006-10,43
2006-11,41
2006-12,36
2007-01,40
2007-02,38
2007-03,39
2007-04,40
2007-05,43
2007-06,36
2007-07,30
2007-08,34
2007-09,41
2007-10,45
2007-11,44
2007-12,34
2008-01,41
2008-02,43
2008-03,44
2008-04,47
2008-05,44
2008-06,36
2008-07,34
2008-08,34
2008-09,39
2008-10,43
2008-11,41
2008-12,43
2009-01,39
2009-02,43
2009-03,46
2009-04,45
2009-05,42
2009-06,38
2009-07,34
2009-08,34
2009-09,42
2009-10,49
2009-11,47
2009-12,38
2010-01,41
2010-02,44
2010-03,45
2010-04,47
2010-05,42
2010-06,35
2010-07,33
2010-08,36
2010-09,41
2010-10,41
2010-11,41
2010-12,36
2011-01,39
2011-02,40
2011-03,45
2011-04,45
2011-05,42
2011-06,36
2011-07,32
2011-08,34
2011-09,37
2011-10,40
2011-11,42
2011-12,36
2012-01,40
2012-02,46
2012-03,45
2012-04,44
2012-05,41
2012-06,35
2012-07,35
2012-08,36
2012-09,40
2012-10,42
2012-11,41
2012-12,37
2013-01,44
2013-02,44
2013-03,41
2013-04,47
2013-05,43
2013-06,35
2013-07,33
2013-08,35
2013-09,41
2013-10,43
2013-11,40
2013-12,37
2014-01,43
2014-02,42
2014-03,42
2014-04,48
2014-05,42
2014-06,38
2014-07,37
2014-08,37
2014-09,44
2014-10,43
2014-11,44
2014-12,41
2015-01,43
2015-02,42
2015-03,47
2015-04,50
2015-05,43
2015-06,37
2015-07,37
2015-08,38
2015-09,43
2015-10,46
2015-11,45
2015-12,41
2016-01,42
2016-02,46
2016-03,45
2016-04,46
2016-05,42
2016-06,39
2016-07,36
2016-08,38
2016-09,43
2016-10,43
2016-11,48
2016-12,42
2017-01,44
2017-02,50
2017-03,47
2017-04,50
2017-05,50
2017-06,43
2017-07,39
2017-08,42
2017-09,47
2017-10,50
2017-11,49
2017-12,46
2018-01,50
2018-02,55
2018-03,55
2018-04,53
2018-05,54
2018-06,45
2018-07,44
2018-08,44
2018-09,48
2018-10,51
2018-11,50
2018-12,46
2019-01,49
2019-02,51
2019-03,53
2019-04,54
2019-05,49
2019-06,44
2019-07,42
2019-08,42
2019-09,47
2019-10,52
2019-11,51
2019-12,46
2020-01,55
2020-02,53
2020-03,100
2020-04,75
2020-05,57
2020-06,50
2020-07,57
2020-08,46
2020-09,48
2020-10,49
2020-11,46
2020-12,48
2021-01,48
2021-02,49
2021-03,53
2021-04,49
2021-05,44
2021-06,41
2021-07,41
2021-08,47
2021-09,50
2021-10,46
2021-11,48
2021-12,44
2022-01,53
2022-02,52
2022-03,55
2022-04,54
2022-05,51
2022-06,46
2022-07,44
2022-08,45
2022-09,50
2022-10,55
2022-11,53
2022-12,48
2023-01,51
2023-02,53
2023-03,58
2023-04,56
2023-05,57
2023-06,52
2023-07,45
2023-08,47
2023-09,53
2023-10,61
2023-11,59
2023-12,54
2024-01,54
2024-02,56
2024-03,56
2024-04,55
2024-05,52
2024-06,45
2024-07,47
2024-08,47
2024-09,53
2024-10,58
2024-11,56
2024-12,62
