Category: All categories

Month,Bacteria: (United States)
2004-11,59
2004-12,45
2005-01,50
2005-02,59
2005-03,49
2005-04,53
2005-05,41
2005-06,35
2005-07,30
2005-08,29
2005-09,44
2005-10,47
2005-11,47
2005-12,37
2006-01,43
2006-02,53
2006-03,48
2006-04,44
2006-05,38
2006-06,34
2006-07,28
2006-08,28
2006-09,40
2006-10,43
2006-11,40
2006-12,34
2007-01,40
2007-02,44
2007-03,38
2007-04,39
2007-05,38
2007-06,28
2007-07,25
2007-08,27
2007-09,42
2007-10,50
2007-11,46
2007-12,35
2008-01,39
2008-02,46
2008-03,44
2008-04,46
2008-05,39
2008-06,32
2008-07,28
2008-08,27
2008-09,43
2008-10,46
2008-11,44
2008-12,36
2009-01,41
2009-02,50
2009-03,49
2009-04,50
2009-05,42
2009-06,35
2009-07,29
2009-08,30
2009-09,48
2009-10,50
2009-11,46
2009-12,37
2010-01,40
2010-02,51
2010-03,52
2010-04,50
2010-05,45
2010-06,34
2010-07,29
2010-08,30
2010-09,42
2010-10,46
2010-11,44
2010-12,40
2011-01,41
2011-02,51
2011-03,51
2011-04,48
2011-05,43
2011-06,36
2011-07,30
2011-08,30
2011-09,46
2011-10,48
2011-11,45
2011-12,36
2012-01,41
2012-02,55
2012-03,48
2012-04,49
2012-05,74
2012-06,44
2012-07,38
2012-08,36
2012-09,52
2012-10,52
2012-11,47
2012-12,41
2013-01,44
2013-02,54
2013-03,52
2013-04,52
2013-05,45
2013-06,35
2013-07,32
2013-08,34
2013-09,54
2013-10,60
2013-11,50
2013-12,40
2014-01,44
2014-02,56
2014-03,51
2014-04,54
2014-05,50
2014-06,36
2014-07,40
2014-08,46
2014-09,53
2014-10,58
2014-11,47
2014-12,44
2015-01,45
2015-02,57
2015-03,55
2015-04,56
2015-05,51
2015-06,57
2015-07,44
2015-08,37
2015-09,58
2015-10,58
2015-11,54
2015-12,45
2016-01,48
2016-02,61
2016-03,60
2016-04,57
2016-05,52
2016-06,56
2016-07,50
2016-08,38
2016-09,57
2016-10,56
2016-11,51
2016-12,42
2017-01,50
2017-02,64
2017-03,57
2017-04,58
2017-05,53
2017-06,41
2017-07,46
2017-08,39
2017-09,57
2017-10,59
2017-11,56
2017-12,45
2018-01,54
2018-02,64
2018-03,57
2018-04,63
2018-05,56
2018-06,47
2018-07,44
2018-08,44
2018-09,56
2018-10,63
2018-11,55
2018-12,47
2019-01,53
2019-02,64
2019-03,60
2019-04,61
2019-05,55
2019-06,50
2019-07,100
2019-08,51
2019-09,66
2019-10,64
2019-11,55
2019-12,45
2020-01,52
2020-02,64
2020-03,79
2020-04,74
2020-05,57
2020-06,43
2020-07,42
2020-08,43
2020-09,75
2020-10,68
2020-11,49
2020-12,43
2021-01,44
2021-02,55
2021-03,49
2021-04,52
2021-05,45
2021-06,37
2021-07,38
2021-08,40
2021-09,56
2021-10,53
2021-11,50
2021-12,42
2022-01,50
2022-02,67
2022-03,64
2022-04,72
2022-05,58
2022-06,43
2022-07,44
2022-08,51
2022-09,68
2022-10,67
2022-11,62
2022-12,53
2023-01,58
2023-02,76
2023-03,71
2023-04,74
2023-05,63
2023-06,49
2023-07,48
2023-08,57
2023-09,81
2023-10,77
2023-11,68
2023-12,56
2024-01,62
2024-02,81
2024-03,71
2024-04,76
2024-05,65
2024-06,52
2024-07,50
2024-08,54
2024-09,79
2024-10,77
2024-11,64
2024-12,70
