Category: All categories

Month,Biopsy: (United States)
2004-11,55
2004-12,49
2005-01,55
2005-02,53
2005-03,54
2005-04,53
2005-05,54
2005-06,57
2005-07,54
2005-08,56
2005-09,56
2005-10,53
2005-11,49
2005-12,46
2006-01,52
2006-02,53
2006-03,52
2006-04,54
2006-05,56
2006-06,54
2006-07,54
2006-08,58
2006-09,53
2006-10,56
2006-11,53
2006-12,50
2007-01,55
2007-02,52
2007-03,52
2007-04,55
2007-05,55
2007-06,53
2007-07,54
2007-08,56
2007-09,55
2007-10,61
2007-11,49
2007-12,45
2008-01,47
2008-02,53
2008-03,53
2008-04,54
2008-05,48
2008-06,54
2008-07,53
2008-08,52
2008-09,51
2008-10,54
2008-11,50
2008-12,46
2009-01,50
2009-02,55
2009-03,54
2009-04,51
2009-05,50
2009-06,55
2009-07,54
2009-08,53
2009-09,51
2009-10,52
2009-11,51
2009-12,44
2010-01,46
2010-02,52
2010-03,57
2010-04,51
2010-05,48
2010-06,48
2010-07,45
2010-08,46
2010-09,47
2010-10,48
2010-11,47
2010-12,42
2011-01,53
2011-02,53
2011-03,60
2011-04,53
2011-05,54
2011-06,55
2011-07,51
2011-08,53
2011-09,52
2011-10,56
2011-11,53
2011-12,49
2012-01,55
2012-02,57
2012-03,57
2012-04,54
2012-05,55
2012-06,54
2012-07,53
2012-08,56
2012-09,55
2012-10,58
2012-11,52
2012-12,47
2013-01,53
2013-02,54
2013-03,54
2013-04,56
2013-05,57
2013-06,53
2013-07,54
2013-08,60
2013-09,53
2013-10,58
2013-11,57
2013-12,46
2014-01,52
2014-02,56
2014-03,54
2014-04,57
2014-05,59
2014-06,59
2014-07,58
2014-08,54
2014-09,62
2014-10,59
2014-11,53
2014-12,48
2015-01,53
2015-02,51
2015-03,58
2015-04,59
2015-05,58
2015-06,65
2015-07,59
2015-08,61
2015-09,61
2015-10,61
2015-11,57
2015-12,56
2016-01,59
2016-02,62
2016-03,64
2016-04,62
2016-05,58
2016-06,65
2016-07,58
2016-08,63
2016-09,58
2016-10,61
2016-11,64
2016-12,56
2017-01,65
2017-02,73
2017-03,71
2017-04,69
2017-05,70
2017-06,73
2017-07,69
2017-08,75
2017-09,67
2017-10,72
2017-11,69
2017-12,65
2018-01,71
2018-02,79
2018-03,74
2018-04,80
2018-05,74
2018-06,76
2018-07,73
2018-08,77
2018-09,73
2018-10,80
2018-11,71
2018-12,66
2019-01,77
2019-02,76
2019-03,79
2019-04,79
2019-05,80
2019-06,76
2019-07,73
2019-08,77
2019-09,79
2019-10,81
2019-11,74
2019-12,66
2020-01,76
2020-02,81
2020-03,59
2020-04,41
2020-05,48
2020-06,65
2020-07,65
2020-08,66
2020-09,68
2020-10,78
2020-11,64
2020-12,63
2021-01,63
2021-02,74
2021-03,74
2021-04,80
2021-05,76
2021-06,70
2021-07,70
2021-08,77
2021-09,72
2021-10,76
2021-11,77
2021-12,68
2022-01,76
2022-02,84
2022-03,89
2022-04,85
2022-05,72
2022-06,80
2022-07,73
2022-08,82
2022-09,77
2022-10,81
2022-11,75
2022-12,71
2023-01,80
2023-02,88
2023-03,93
2023-04,91
2023-05,87
2023-06,93
2023-07,79
2023-08,90
2023-09,88
2023-10,88
2023-11,85
2023-12,77
2024-01,88
2024-02,95
2024-03,94
2024-04,97
2024-05,94
2024-06,90
2024-07,89
2024-08,95
2024-09,92
2024-10,100
2024-11,94
2024-12,94
