Category: All categories

Month,cancer: (United States)
2004-11,95
2004-12,82
2005-01,86
2005-02,90
2005-03,82
2005-04,86
2005-05,81
2005-06,81
2005-07,76
2005-08,83
2005-09,77
2005-10,86
2005-11,75
2005-12,67
2006-01,75
2006-02,75
2006-03,85
2006-04,78
2006-05,77
2006-06,76
2006-07,73
2006-08,73
2006-09,78
2006-10,91
2006-11,74
2006-12,67
2007-01,75
2007-02,71
2007-03,80
2007-04,75
2007-05,78
2007-06,73
2007-07,71
2007-08,71
2007-09,77
2007-10,88
2007-11,75
2007-12,63
2008-01,69
2008-02,68
2008-03,83
2008-04,79
2008-05,74
2008-06,72
2008-07,74
2008-08,70
2008-09,82
2008-10,83
2008-11,73
2008-12,64
2009-01,73
2009-02,79
2009-03,76
2009-04,79
2009-05,82
2009-06,84
2009-07,72
2009-08,70
2009-09,78
2009-10,90
2009-11,75
2009-12,66
2010-01,73
2010-02,75
2010-03,73
2010-04,75
2010-05,71
2010-06,67
2010-07,63
2010-08,64
2010-09,79
2010-10,87
2010-11,69
2010-12,64
2011-01,72
2011-02,73
2011-03,75
2011-04,73
2011-05,75
2011-06,74
2011-07,66
2011-08,68
2011-09,79
2011-10,97
2011-11,74
2011-12,67
2012-01,73
2012-02,73
2012-03,73
2012-04,79
2012-05,73
2012-06,71
2012-07,67
2012-08,72
2012-09,76
2012-10,100
2012-11,71
2012-12,64
2013-01,69
2013-02,70
2013-03,66
2013-04,74
2013-05,73
2013-06,74
2013-07,73
2013-08,70
2013-09,70
2013-10,92
2013-11,70
2013-12,65
2014-01,69
2014-02,75
2014-03,74
2014-04,74
2014-05,74
2014-06,72
2014-07,71
2014-08,69
2014-09,74
2014-10,95
2014-11,66
2014-12,64
2015-01,72
2015-02,66
2015-03,72
2015-04,75
2015-05,77
2015-06,73
2015-07,73
2015-08,73
2015-09,84
2015-10,98
2015-11,74
2015-12,70
2016-01,82
2016-02,81
2016-03,79
2016-04,77
2016-05,73
2016-06,74
2016-07,70
2016-08,68
2016-09,80
2016-10,84
2016-11,70
2016-12,67
2017-01,73
2017-02,76
2017-03,72
2017-04,76
2017-05,73
2017-06,76
2017-07,75
2017-08,74
2017-09,74
2017-10,85
2017-11,73
2017-12,70
2018-01,72
2018-02,78
2018-03,74
2018-04,74
2018-05,74
2018-06,76
2018-07,78
2018-08,79
2018-09,78
2018-10,90
2018-11,76
2018-12,73
2019-01,79
2019-02,83
2019-03,89
2019-04,81
2019-05,78
2019-06,83
2019-07,76
2019-08,76
2019-09,82
2019-10,89
2019-11,77
2019-12,70
2020-01,74
2020-02,85
2020-03,61
2020-04,58
2020-05,58
2020-06,66
2020-07,70
2020-08,71
2020-09,70
2020-10,83
2020-11,65
2020-12,67
2021-01,68
2021-02,75
2021-03,71
2021-04,70
2021-05,71
2021-06,73
2021-07,73
2021-08,70
2021-09,78
2021-10,81
2021-11,72
2021-12,67
2022-01,71
2022-02,74
2022-03,76
2022-04,79
2022-05,75
2022-06,78
2022-07,76
2022-08,75
2022-09,75
2022-10,85
2022-11,78
2022-12,75
2023-01,85
2023-02,84
2023-03,80
2023-04,82
2023-05,82
2023-06,82
2023-07,78
2023-08,76
2023-09,81
2023-10,87
2023-11,75
2023-12,73
2024-01,83
2024-02,89
2024-03,91
2024-04,83
2024-05,78
2024-06,82
2024-07,76
2024-08,77
2024-09,78
2024-10,85
2024-11,76
2024-12,77
