Category: All categories

Month,Cardiomyopathy: (United States)
2004-11,53
2004-12,47
2005-01,50
2005-02,62
2005-03,60
2005-04,63
2005-05,51
2005-06,55
2005-07,57
2005-08,54
2005-09,53
2005-10,59
2005-11,56
2005-12,44
2006-01,54
2006-02,56
2006-03,56
2006-04,55
2006-05,50
2006-06,51
2006-07,47
2006-08,47
2006-09,50
2006-10,53
2006-11,50
2006-12,42
2007-01,45
2007-02,51
2007-03,47
2007-04,45
2007-05,47
2007-06,44
2007-07,47
2007-08,45
2007-09,52
2007-10,56
2007-11,57
2007-12,43
2008-01,50
2008-02,51
2008-03,48
2008-04,51
2008-05,46
2008-06,47
2008-07,47
2008-08,45
2008-09,47
2008-10,49
2008-11,50
2008-12,54
2009-01,46
2009-02,65
2009-03,52
2009-04,51
2009-05,46
2009-06,49
2009-07,49
2009-08,47
2009-09,52
2009-10,56
2009-11,48
2009-12,44
2010-01,49
2010-02,53
2010-03,55
2010-04,52
2010-05,52
2010-06,46
2010-07,46
2010-08,41
2010-09,47
2010-10,51
2010-11,49
2010-12,42
2011-01,45
2011-02,52
2011-03,65
2011-04,52
2011-05,49
2011-06,45
2011-07,44
2011-08,46
2011-09,51
2011-10,50
2011-11,54
2011-12,66
2012-01,53
2012-02,55
2012-03,54
2012-04,54
2012-05,51
2012-06,45
2012-07,45
2012-08,43
2012-09,53
2012-10,50
2012-11,47
2012-12,44
2013-01,47
2013-02,55
2013-03,46
2013-04,45
2013-05,46
2013-06,51
2013-07,100
2013-08,44
2013-09,48
2013-10,49
2013-11,45
2013-12,41
2014-01,43
2014-02,49
2014-03,48
2014-04,64
2014-05,45
2014-06,50
2014-07,46
2014-08,46
2014-09,51
2014-10,50
2014-11,46
2014-12,45
2015-01,47
2015-02,49
2015-03,47
2015-04,50
2015-05,46
2015-06,44
2015-07,48
2015-08,49
2015-09,53
2015-10,61
2015-11,65
2015-12,54
2016-01,47
2016-02,48
2016-03,47
2016-04,51
2016-05,45
2016-06,44
2016-07,41
2016-08,46
2016-09,43
2016-10,46
2016-11,51
2016-12,49
2017-01,63
2017-02,63
2017-03,73
2017-04,56
2017-05,56
2017-06,55
2017-07,56
2017-08,69
2017-09,64
2017-10,69
2017-11,53
2017-12,61
2018-01,63
2018-02,65
2018-03,44
2018-04,56
2018-05,51
2018-06,49
2018-07,43
2018-08,51
2018-09,43
2018-10,45
2018-11,39
2018-12,34
2019-01,37
2019-02,42
2019-03,42
2019-04,37
2019-05,40
2019-06,42
2019-07,48
2019-08,38
2019-09,42
2019-10,42
2019-11,40
2019-12,38
2020-01,43
2020-02,43
2020-03,38
2020-04,34
2020-05,31
2020-06,34
2020-07,38
2020-08,37
2020-09,43
2020-10,40
2020-11,36
2020-12,38
2021-01,60
2021-02,73
2021-03,74
2021-04,63
2021-05,58
2021-06,61
2021-07,64
2021-08,72
2021-09,69
2021-10,72
2021-11,62
2021-12,58
2022-01,64
2022-02,77
2022-03,73
2022-04,70
2022-05,64
2022-06,69
2022-07,56
2022-08,64
2022-09,63
2022-10,82
2022-11,89
2022-12,67
2023-01,84
2023-02,82
2023-03,86
2023-04,80
2023-05,83
2023-06,82
2023-07,79
2023-08,79
2023-09,82
2023-10,77
2023-11,74
2023-12,72
2024-01,73
2024-02,83
2024-03,77
2024-04,77
2024-05,73
2024-06,65
2024-07,68
2024-08,69
2024-09,72
2024-10,72
2024-11,67
2024-12,76
