Category: All categories

Month,Cholesterol: (United States)
2004-11,68
2004-12,60
2005-01,70
2005-02,72
2005-03,73
2005-04,69
2005-05,64
2005-06,63
2005-07,65
2005-08,66
2005-09,64
2005-10,71
2005-11,64
2005-12,54
2006-01,67
2006-02,72
2006-03,73
2006-04,61
2006-05,60
2006-06,62
2006-07,60
2006-08,61
2006-09,65
2006-10,66
2006-11,63
2006-12,57
2007-01,68
2007-02,68
2007-03,64
2007-04,64
2007-05,60
2007-06,61
2007-07,63
2007-08,64
2007-09,65
2007-10,73
2007-11,69
2007-12,59
2008-01,74
2008-02,65
2008-03,62
2008-04,62
2008-05,56
2008-06,59
2008-07,60
2008-08,56
2008-09,61
2008-10,64
2008-11,64
2008-12,54
2009-01,63
2009-02,65
2009-03,65
2009-04,63
2009-05,57
2009-06,62
2009-07,61
2009-08,64
2009-09,64
2009-10,69
2009-11,68
2009-12,52
2010-01,62
2010-02,66
2010-03,70
2010-04,62
2010-05,58
2010-06,57
2010-07,54
2010-08,55
2010-09,58
2010-10,65
2010-11,59
2010-12,49
2011-01,57
2011-02,60
2011-03,64
2011-04,56
2011-05,53
2011-06,55
2011-07,50
2011-08,50
2011-09,62
2011-10,60
2011-11,56
2011-12,50
2012-01,59
2012-02,63
2012-03,60
2012-04,53
2012-05,54
2012-06,51
2012-07,49
2012-08,52
2012-09,56
2012-10,58
2012-11,53
2012-12,45
2013-01,53
2013-02,59
2013-03,55
2013-04,59
2013-05,52
2013-06,50
2013-07,52
2013-08,54
2013-09,56
2013-10,61
2013-11,65
2013-12,47
2014-01,55
2014-02,60
2014-03,58
2014-04,58
2014-05,50
2014-06,51
2014-07,52
2014-08,50
2014-09,57
2014-10,60
2014-11,56
2014-12,44
2015-01,52
2015-02,58
2015-03,59
2015-04,56
2015-05,51
2015-06,52
2015-07,52
2015-08,52
2015-09,59
2015-10,57
2015-11,58
2015-12,50
2016-01,50
2016-02,54
2016-03,56
2016-04,56
2016-05,52
2016-06,50
2016-07,44
2016-08,49
2016-09,57
2016-10,53
2016-11,51
2016-12,44
2017-01,52
2017-02,59
2017-03,61
2017-04,57
2017-05,54
2017-06,54
2017-07,54
2017-08,54
2017-09,56
2017-10,60
2017-11,55
2017-12,49
2018-01,58
2018-02,67
2018-03,63
2018-04,66
2018-05,57
2018-06,58
2018-07,57
2018-08,58
2018-09,65
2018-10,65
2018-11,63
2018-12,56
2019-01,71
2019-02,71
2019-03,75
2019-04,71
2019-05,67
2019-06,65
2019-07,61
2019-08,67
2019-09,69
2019-10,74
2019-11,67
2019-12,58
2020-01,74
2020-02,75
2020-03,50
2020-04,39
2020-05,46
2020-06,56
2020-07,64
2020-08,63
2020-09,66
2020-10,76
2020-11,62
2020-12,59
2021-01,67
2021-02,75
2021-03,73
2021-04,74
2021-05,74
2021-06,73
2021-07,67
2021-08,72
2021-09,76
2021-10,78
2021-11,76
2021-12,68
2022-01,77
2022-02,93
2022-03,96
2022-04,91
2022-05,83
2022-06,80
2022-07,79
2022-08,87
2022-09,88
2022-10,91
2022-11,85
2022-12,75
2023-01,92
2023-02,99
2023-03,100
2023-04,96
2023-05,92
2023-06,89
2023-07,86
2023-08,84
2023-09,89
2023-10,94
2023-11,85
2023-12,83
2024-01,95
2024-02,100
2024-03,96
2024-04,94
2024-05,87
2024-06,84
2024-07,88
2024-08,89
2024-09,93
2024-10,99
2024-11,90
2024-12,85
