Category: All categories

Month,Diabetes: (United States)
2004-11,80
2004-12,71
2005-01,71
2005-02,76
2005-03,77
2005-04,78
2005-05,75
2005-06,76
2005-07,68
2005-08,69
2005-09,67
2005-10,74
2005-11,74
2005-12,63
2006-01,76
2006-02,74
2006-03,78
2006-04,72
2006-05,69
2006-06,67
2006-07,65
2006-08,64
2006-09,69
2006-10,72
2006-11,72
2006-12,62
2007-01,71
2007-02,68
2007-03,68
2007-04,73
2007-05,71
2007-06,66
2007-07,71
2007-08,65
2007-09,70
2007-10,73
2007-11,69
2007-12,59
2008-01,64
2008-02,66
2008-03,69
2008-04,70
2008-05,63
2008-06,64
2008-07,59
2008-08,64
2008-09,64
2008-10,69
2008-11,70
2008-12,57
2009-01,61
2009-02,68
2009-03,71
2009-04,68
2009-05,64
2009-06,63
2009-07,62
2009-08,60
2009-09,65
2009-10,66
2009-11,68
2009-12,57
2010-01,64
2010-02,67
2010-03,71
2010-04,68
2010-05,66
2010-06,62
2010-07,58
2010-08,57
2010-09,61
2010-10,62
2010-11,62
2010-12,54
2011-01,57
2011-02,61
2011-03,66
2011-04,61
2011-05,57
2011-06,59
2011-07,56
2011-08,56
2011-09,57
2011-10,59
2011-11,60
2011-12,53
2012-01,65
2012-02,60
2012-03,62
2012-04,60
2012-05,58
2012-06,55
2012-07,58
2012-08,54
2012-09,55
2012-10,58
2012-11,58
2012-12,49
2013-01,57
2013-02,60
2013-03,60
2013-04,63
2013-05,57
2013-06,57
2013-07,57
2013-08,57
2013-09,57
2013-10,60
2013-11,65
2013-12,51
2014-01,60
2014-02,59
2014-03,61
2014-04,63
2014-05,59
2014-06,58
2014-07,60
2014-08,57
2014-09,62
2014-10,61
2014-11,62
2014-12,57
2015-01,57
2015-02,61
2015-03,65
2015-04,64
2015-05,62
2015-06,63
2015-07,63
2015-08,60
2015-09,59
2015-10,62
2015-11,63
2015-12,59
2016-01,63
2016-02,63
2016-03,67
2016-04,63
2016-05,63
2016-06,62
2016-07,58
2016-08,57
2016-09,60
2016-10,58
2016-11,73
2016-12,65
2017-01,80
2017-02,76
2017-03,81
2017-04,81
2017-05,77
2017-06,76
2017-07,78
2017-08,75
2017-09,74
2017-10,79
2017-11,81
2017-12,74
2018-01,81
2018-02,79
2018-03,71
2018-04,70
2018-05,69
2018-06,64
2018-07,68
2018-08,65
2018-09,64
2018-10,73
2018-11,70
2018-12,63
2019-01,73
2019-02,70
2019-03,78
2019-04,75
2019-05,72
2019-06,68
2019-07,69
2019-08,66
2019-09,68
2019-10,70
2019-11,72
2019-12,67
2020-01,75
2020-02,77
2020-03,68
2020-04,66
2020-05,66
2020-06,72
2020-07,68
2020-08,64
2020-09,66
2020-10,69
2020-11,64
2020-12,64
2021-01,70
2021-02,79
2021-03,73
2021-04,76
2021-05,72
2021-06,73
2021-07,71
2021-08,74
2021-09,70
2021-10,75
2021-11,73
2021-12,68
2022-01,78
2022-02,85
2022-03,84
2022-04,82
2022-05,79
2022-06,79
2022-07,78
2022-08,82
2022-09,79
2022-10,83
2022-11,82
2022-12,77
2023-01,87
2023-02,96
2023-03,97
2023-04,99
2023-05,91
2023-06,97
2023-07,90
2023-08,87
2023-09,90
2023-10,89
2023-11,90
2023-12,80
2024-01,97
2024-02,97
2024-03,99
2024-04,100
2024-05,89
2024-06,89
2024-07,86
2024-08,88
2024-09,85
2024-10,86
2024-11,87
2024-12,91
