Category: All categories

Month,Embolism: (United States)
2004-11,23
2004-12,21
2005-01,20
2005-02,23
2005-03,24
2005-04,24
2005-05,23
2005-06,23
2005-07,21
2005-08,23
2005-09,21
2005-10,23
2005-11,23
2005-12,20
2006-01,23
2006-02,23
2006-03,25
2006-04,23
2006-05,21
2006-06,20
2006-07,20
2006-08,21
2006-09,20
2006-10,22
2006-11,23
2006-12,17
2007-01,21
2007-02,21
2007-03,22
2007-04,22
2007-05,21
2007-06,21
2007-07,21
2007-08,22
2007-09,21
2007-10,23
2007-11,23
2007-12,19
2008-01,21
2008-02,24
2008-03,22
2008-04,24
2008-05,22
2008-06,30
2008-07,22
2008-08,20
2008-09,24
2008-10,24
2008-11,22
2008-12,19
2009-01,19
2009-02,23
2009-03,24
2009-04,22
2009-05,21
2009-06,23
2009-07,20
2009-08,19
2009-09,24
2009-10,23
2009-11,24
2009-12,23
2010-01,21
2010-02,23
2010-03,23
2010-04,23
2010-05,44
2010-06,24
2010-07,23
2010-08,21
2010-09,26
2010-10,27
2010-11,23
2010-12,22
2011-01,22
2011-02,25
2011-03,33
2011-04,25
2011-05,23
2011-06,21
2011-07,20
2011-08,20
2011-09,22
2011-10,24
2011-11,22
2011-12,22
2012-01,22
2012-02,25
2012-03,24
2012-04,25
2012-05,21
2012-06,19
2012-07,22
2012-08,21
2012-09,24
2012-10,23
2012-11,22
2012-12,19
2013-01,20
2013-02,24
2013-03,23
2013-04,22
2013-05,21
2013-06,19
2013-07,20
2013-08,20
2013-09,21
2013-10,24
2013-11,24
2013-12,21
2014-01,25
2014-02,25
2014-03,23
2014-04,24
2014-05,23
2014-06,22
2014-07,22
2014-08,24
2014-09,21
2014-10,28
2014-11,30
2014-12,21
2015-01,22
2015-02,25
2015-03,27
2015-04,23
2015-05,23
2015-06,21
2015-07,21
2015-08,21
2015-09,22
2015-10,26
2015-11,25
2015-12,21
2016-01,21
2016-02,27
2016-03,22
2016-04,24
2016-05,21
2016-06,21
2016-07,20
2016-08,22
2016-09,21
2016-10,24
2016-11,50
2016-12,49
2017-01,55
2017-02,64
2017-03,62
2017-04,61
2017-05,61
2017-06,59
2017-07,54
2017-08,53
2017-09,56
2017-10,64
2017-11,56
2017-12,57
2018-01,63
2018-02,61
2018-03,17
2018-04,22
2018-05,21
2018-06,16
2018-07,18
2018-08,23
2018-09,18
2018-10,18
2018-11,18
2018-12,16
2019-01,19
2019-02,25
2019-03,18
2019-04,18
2019-05,17
2019-06,16
2019-07,18
2019-08,15
2019-09,18
2019-10,20
2019-11,15
2019-12,15
2020-01,17
2020-02,18
2020-03,16
2020-04,16
2020-05,14
2020-06,14
2020-07,15
2020-08,14
2020-09,16
2020-10,18
2020-11,17
2020-12,16
2021-01,96
2021-02,76
2021-03,62
2021-04,60
2021-05,24
2021-06,20
2021-07,21
2021-08,22
2021-09,24
2021-10,26
2021-11,26
2021-12,19
2022-01,32
2022-02,48
2022-03,41
2022-04,40
2022-05,52
2022-06,45
2022-07,34
2022-08,31
2022-09,38
2022-10,59
2022-11,50
2022-12,45
2023-01,48
2023-02,51
2023-03,64
2023-04,55
2023-05,71
2023-06,59
2023-07,50
2023-08,64
2023-09,69
2023-10,68
2023-11,63
2023-12,68
2024-01,79
2024-02,83
2024-03,80
2024-04,78
2024-05,76
2024-06,66
2024-07,70
2024-08,100
2024-09,71
2024-10,74
2024-11,46
2024-12,28
