Category: All categories

Month,Encephalitis: (United States)
2004-11,50
2004-12,42
2005-01,45
2005-02,51
2005-03,44
2005-04,48
2005-05,48
2005-06,43
2005-07,46
2005-08,54
2005-09,68
2005-10,49
2005-11,44
2005-12,37
2006-01,39
2006-02,42
2006-03,48
2006-04,47
2006-05,44
2006-06,39
2006-07,42
2006-08,45
2006-09,49
2006-10,37
2006-11,38
2006-12,30
2007-01,51
2007-02,37
2007-03,41
2007-04,38
2007-05,40
2007-06,35
2007-07,38
2007-08,38
2007-09,42
2007-10,40
2007-11,32
2007-12,29
2008-01,35
2008-02,38
2008-03,39
2008-04,39
2008-05,38
2008-06,34
2008-07,37
2008-08,37
2008-09,36
2008-10,38
2008-11,34
2008-12,33
2009-01,31
2009-02,42
2009-03,39
2009-04,42
2009-05,40
2009-06,34
2009-07,35
2009-08,35
2009-09,40
2009-10,44
2009-11,44
2009-12,33
2010-01,34
2010-02,31
2010-03,40
2010-04,38
2010-05,38
2010-06,35
2010-07,43
2010-08,46
2010-09,41
2010-10,38
2010-11,36
2010-12,31
2011-01,33
2011-02,37
2011-03,37
2011-04,39
2011-05,34
2011-06,34
2011-07,36
2011-08,40
2011-09,43
2011-10,41
2011-11,38
2011-12,36
2012-01,38
2012-02,40
2012-03,36
2012-04,39
2012-05,36
2012-06,33
2012-07,41
2012-08,54
2012-09,48
2012-10,41
2012-11,39
2012-12,34
2013-01,35
2013-02,39
2013-03,41
2013-04,37
2013-05,50
2013-06,74
2013-07,45
2013-08,45
2013-09,44
2013-10,42
2013-11,38
2013-12,36
2014-01,41
2014-02,39
2014-03,41
2014-04,43
2014-05,42
2014-06,41
2014-07,41
2014-08,41
2014-09,43
2014-10,42
2014-11,35
2014-12,33
2015-01,36
2015-02,53
2015-03,43
2015-04,42
2015-05,37
2015-06,46
2015-07,39
2015-08,42
2015-09,50
2015-10,43
2015-11,38
2015-12,36
2016-01,33
2016-02,36
2016-03,36
2016-04,34
2016-05,31
2016-06,31
2016-07,31
2016-08,32
2016-09,33
2016-10,33
2016-11,42
2016-12,38
2017-01,40
2017-02,45
2017-03,36
2017-04,43
2017-05,54
2017-06,44
2017-07,44
2017-08,54
2017-09,47
2017-10,45
2017-11,38
2017-12,40
2018-01,45
2018-02,43
2018-03,36
2018-04,38
2018-05,36
2018-06,44
2018-07,47
2018-08,40
2018-09,39
2018-10,40
2018-11,35
2018-12,36
2019-01,38
2019-02,41
2019-03,39
2019-04,39
2019-05,38
2019-06,39
2019-07,37
2019-08,47
2019-09,77
2019-10,72
2019-11,42
2019-12,33
2020-01,37
2020-02,36
2020-03,40
2020-04,41
2020-05,32
2020-06,50
2020-07,46
2020-08,36
2020-09,39
2020-10,36
2020-11,34
2020-12,32
2021-01,35
2021-02,36
2021-03,35
2021-04,37
2021-05,37
2021-06,35
2021-07,36
2021-08,41
2021-09,37
2021-10,39
2021-11,38
2021-12,37
2022-01,46
2022-02,42
2022-03,72
2022-04,52
2022-05,44
2022-06,38
2022-07,48
2022-08,46
2022-09,48
2022-10,47
2022-11,51
2022-12,65
2023-01,57
2023-02,50
2023-03,55
2023-04,50
2023-05,62
2023-06,55
2023-07,57
2023-08,53
2023-09,56
2023-10,49
2023-11,61
2023-12,59
2024-01,54
2024-02,57
2024-03,52
2024-04,52
2024-05,60
2024-06,51
2024-07,45
2024-08,100
2024-09,86
2024-10,65
2024-11,61
2024-12,59
