Category: All categories

Month,Epilepsy: (United States)
2004-11,53
2004-12,47
2005-01,48
2005-02,51
2005-03,52
2005-04,50
2005-05,45
2005-06,47
2005-07,42
2005-08,40
2005-09,46
2005-10,46
2005-11,46
2005-12,43
2006-01,44
2006-02,48
2006-03,48
2006-04,46
2006-05,47
2006-06,37
2006-07,38
2006-08,38
2006-09,38
2006-10,43
2006-11,46
2006-12,38
2007-01,41
2007-02,40
2007-03,43
2007-04,41
2007-05,42
2007-06,41
2007-07,40
2007-08,36
2007-09,40
2007-10,41
2007-11,41
2007-12,37
2008-01,38
2008-02,40
2008-03,39
2008-04,39
2008-05,41
2008-06,38
2008-07,37
2008-08,35
2008-09,39
2008-10,39
2008-11,41
2008-12,36
2009-01,38
2009-02,42
2009-03,41
2009-04,39
2009-05,39
2009-06,41
2009-07,33
2009-08,36
2009-09,38
2009-10,41
2009-11,44
2009-12,37
2010-01,36
2010-02,38
2010-03,41
2010-04,41
2010-05,40
2010-06,36
2010-07,32
2010-08,34
2010-09,34
2010-10,37
2010-11,39
2010-12,33
2011-01,35
2011-02,42
2011-03,42
2011-04,40
2011-05,37
2011-06,33
2011-07,32
2011-08,33
2011-09,35
2011-10,38
2011-11,38
2011-12,34
2012-01,36
2012-02,39
2012-03,39
2012-04,42
2012-05,37
2012-06,35
2012-07,34
2012-08,32
2012-09,38
2012-10,39
2012-11,39
2012-12,32
2013-01,36
2013-02,38
2013-03,46
2013-04,41
2013-05,37
2013-06,34
2013-07,33
2013-08,37
2013-09,38
2013-10,42
2013-11,43
2013-12,34
2014-01,37
2014-02,39
2014-03,46
2014-04,44
2014-05,42
2014-06,35
2014-07,39
2014-08,36
2014-09,38
2014-10,41
2014-11,43
2014-12,37
2015-01,37
2015-02,41
2015-03,45
2015-04,45
2015-05,41
2015-06,39
2015-07,39
2015-08,38
2015-09,42
2015-10,45
2015-11,46
2015-12,38
2016-01,36
2016-02,41
2016-03,44
2016-04,45
2016-05,39
2016-06,39
2016-07,38
2016-08,35
2016-09,40
2016-10,38
2016-11,44
2016-12,39
2017-01,42
2017-02,46
2017-03,50
2017-04,47
2017-05,44
2017-06,40
2017-07,40
2017-08,45
2017-09,45
2017-10,50
2017-11,51
2017-12,42
2018-01,47
2018-02,49
2018-03,52
2018-04,52
2018-05,44
2018-06,47
2018-07,42
2018-08,44
2018-09,43
2018-10,46
2018-11,53
2018-12,46
2019-01,52
2019-02,53
2019-03,62
2019-04,61
2019-05,60
2019-06,60
2019-07,100
2019-08,57
2019-09,50
2019-10,54
2019-11,55
2019-12,48
2020-01,52
2020-02,54
2020-03,42
2020-04,39
2020-05,42
2020-06,41
2020-07,41
2020-08,41
2020-09,46
2020-10,47
2020-11,45
2020-12,40
2021-01,42
2021-02,51
2021-03,46
2021-04,53
2021-05,47
2021-06,44
2021-07,48
2021-08,53
2021-09,49
2021-10,49
2021-11,50
2021-12,44
2022-01,48
2022-02,53
2022-03,55
2022-04,54
2022-05,47
2022-06,47
2022-07,48
2022-08,50
2022-09,47
2022-10,48
2022-11,50
2022-12,43
2023-01,46
2023-02,54
2023-03,49
2023-04,49
2023-05,48
2023-06,48
2023-07,52
2023-08,49
2023-09,50
2023-10,55
2023-11,53
2023-12,54
2024-01,53
2024-02,55
2024-03,53
2024-04,56
2024-05,50
2024-06,48
2024-07,47
2024-08,52
2024-09,52
2024-10,54
2024-11,54
2024-12,54
