Category: All categories

Month,Hypertension: (United States)
2004-11,33
2004-12,34
2005-01,34
2005-02,39
2005-03,37
2005-04,35
2005-05,33
2005-06,31
2005-07,31
2005-08,32
2005-09,31
2005-10,32
2005-11,34
2005-12,31
2006-01,40
2006-02,40
2006-03,40
2006-04,38
2006-05,36
2006-06,34
2006-07,31
2006-08,33
2006-09,33
2006-10,35
2006-11,34
2006-12,32
2007-01,37
2007-02,39
2007-03,38
2007-04,36
2007-05,34
2007-06,33
2007-07,32
2007-08,32
2007-09,34
2007-10,38
2007-11,37
2007-12,33
2008-01,39
2008-02,41
2008-03,40
2008-04,42
2008-05,36
2008-06,35
2008-07,36
2008-08,34
2008-09,36
2008-10,39
2008-11,38
2008-12,35
2009-01,38
2009-02,42
2009-03,43
2009-04,42
2009-05,36
2009-06,37
2009-07,37
2009-08,36
2009-09,37
2009-10,39
2009-11,41
2009-12,38
2010-01,42
2010-02,44
2010-03,44
2010-04,42
2010-05,39
2010-06,37
2010-07,34
2010-08,36
2010-09,41
2010-10,42
2010-11,42
2010-12,36
2011-01,43
2011-02,45
2011-03,46
2011-04,40
2011-05,38
2011-06,38
2011-07,36
2011-08,36
2011-09,38
2011-10,40
2011-11,42
2011-12,37
2012-01,46
2012-02,52
2012-03,47
2012-04,42
2012-05,42
2012-06,39
2012-07,36
2012-08,37
2012-09,43
2012-10,43
2012-11,41
2012-12,39
2013-01,45
2013-02,48
2013-03,46
2013-04,45
2013-05,43
2013-06,41
2013-07,40
2013-08,41
2013-09,42
2013-10,46
2013-11,44
2013-12,40
2014-01,45
2014-02,47
2014-03,47
2014-04,48
2014-05,44
2014-06,41
2014-07,40
2014-08,41
2014-09,42
2014-10,45
2014-11,48
2014-12,43
2015-01,46
2015-02,49
2015-03,54
2015-04,48
2015-05,45
2015-06,44
2015-07,43
2015-08,46
2015-09,47
2015-10,50
2015-11,49
2015-12,46
2016-01,48
2016-02,52
2016-03,51
2016-04,53
2016-05,47
2016-06,45
2016-07,43
2016-08,44
2016-09,46
2016-10,47
2016-11,37
2016-12,35
2017-01,41
2017-02,48
2017-03,46
2017-04,44
2017-05,42
2017-06,43
2017-07,40
2017-08,43
2017-09,42
2017-10,43
2017-11,43
2017-12,40
2018-01,43
2018-02,47
2018-03,49
2018-04,46
2018-05,39
2018-06,39
2018-07,40
2018-08,41
2018-09,43
2018-10,46
2018-11,58
2018-12,50
2019-01,58
2019-02,72
2019-03,72
2019-04,72
2019-05,69
2019-06,60
2019-07,66
2019-08,46
2019-09,48
2019-10,48
2019-11,48
2019-12,48
2020-01,55
2020-02,61
2020-03,57
2020-04,55
2020-05,50
2020-06,49
2020-07,53
2020-08,52
2020-09,55
2020-10,60
2020-11,52
2020-12,54
2021-01,64
2021-02,80
2021-03,91
2021-04,84
2021-05,78
2021-06,72
2021-07,65
2021-08,65
2021-09,57
2021-10,61
2021-11,60
2021-12,62
2022-01,75
2022-02,83
2022-03,82
2022-04,78
2022-05,59
2022-06,68
2022-07,72
2022-08,70
2022-09,71
2022-10,88
2022-11,85
2022-12,89
2023-01,95
2023-02,100
2023-03,68
2023-04,56
2023-05,54
2023-06,51
2023-07,48
2023-08,47
2023-09,49
2023-10,54
2023-11,53
2023-12,55
2024-01,58
2024-02,61
2024-03,58
2024-04,57
2024-05,53
2024-06,47
2024-07,47
2024-08,46
2024-09,49
2024-10,53
2024-11,50
2024-12,52
