Category: All categories

Month,Immunodeficiency: (United States)
2004-11,8
2004-12,8
2005-01,8
2005-02,11
2005-03,9
2005-04,11
2005-05,10
2005-06,8
2005-07,7
2005-08,6
2005-09,8
2005-10,8
2005-11,7
2005-12,7
2006-01,8
2006-02,9
2006-03,8
2006-04,9
2006-05,8
2006-06,7
2006-07,6
2006-08,6
2006-09,8
2006-10,7
2006-11,7
2006-12,6
2007-01,7
2007-02,8
2007-03,8
2007-04,8
2007-05,7
2007-06,7
2007-07,6
2007-08,6
2007-09,7
2007-10,8
2007-11,8
2007-12,7
2008-01,8
2008-02,8
2008-03,8
2008-04,10
2008-05,7
2008-06,6
2008-07,6
2008-08,6
2008-09,7
2008-10,9
2008-11,8
2008-12,7
2009-01,7
2009-02,9
2009-03,9
2009-04,10
2009-05,9
2009-06,8
2009-07,8
2009-08,7
2009-09,9
2009-10,11
2009-11,10
2009-12,7
2010-01,7
2010-02,9
2010-03,10
2010-04,10
2010-05,8
2010-06,7
2010-07,6
2010-08,6
2010-09,8
2010-10,8
2010-11,8
2010-12,7
2011-01,7
2011-02,8
2011-03,8
2011-04,9
2011-05,8
2011-06,7
2011-07,6
2011-08,6
2011-09,8
2011-10,8
2011-11,8
2011-12,7
2012-01,7
2012-02,8
2012-03,8
2012-04,8
2012-05,8
2012-06,7
2012-07,6
2012-08,7
2012-09,8
2012-10,8
2012-11,8
2012-12,7
2013-01,8
2013-02,9
2013-03,9
2013-04,9
2013-05,8
2013-06,7
2013-07,6
2013-08,7
2013-09,8
2013-10,9
2013-11,8
2013-12,7
2014-01,8
2014-02,8
2014-03,9
2014-04,10
2014-05,8
2014-06,7
2014-07,7
2014-08,7
2014-09,9
2014-10,10
2014-11,9
2014-12,7
2015-01,9
2015-02,10
2015-03,10
2015-04,9
2015-05,8
2015-06,7
2015-07,7
2015-08,7
2015-09,9
2015-10,9
2015-11,9
2015-12,8
2016-01,8
2016-02,10
2016-03,9
2016-04,10
2016-05,8
2016-06,7
2016-07,7
2016-08,7
2016-09,9
2016-10,9
2016-11,12
2016-12,12
2017-01,13
2017-02,16
2017-03,16
2017-04,16
2017-05,14
2017-06,12
2017-07,11
2017-08,12
2017-09,13
2017-10,13
2017-11,13
2017-12,12
2018-01,13
2018-02,15
2018-03,11
2018-04,12
2018-05,10
2018-06,9
2018-07,8
2018-08,9
2018-09,10
2018-10,11
2018-11,11
2018-12,9
2019-01,10
2019-02,12
2019-03,13
2019-04,15
2019-05,11
2019-06,10
2019-07,10
2019-08,9
2019-09,13
2019-10,12
2019-11,12
2019-12,10
2020-01,12
2020-02,15
2020-03,98
2020-04,42
2020-05,31
2020-06,26
2020-07,28
2020-08,18
2020-09,18
2020-10,18
2020-11,19
2020-12,25
2021-01,30
2021-02,27
2021-03,31
2021-04,24
2021-05,22
2021-06,17
2021-07,26
2021-08,100
2021-09,40
2021-10,33
2021-11,35
2021-12,42
2022-01,46
2022-02,10
2022-03,29
2022-04,31
2022-05,10
2022-06,21
2022-07,23
2022-08,18
2022-09,22
2022-10,22
2022-11,21
2022-12,20
2023-01,19
2023-02,20
2023-03,21
2023-04,22
2023-05,18
2023-06,16
2023-07,15
2023-08,16
2023-09,22
2023-10,22
2023-11,22
2023-12,19
2024-01,20
2024-02,22
2024-03,21
2024-04,21
2024-05,16
2024-06,15
2024-07,17
2024-08,17
2024-09,20
2024-10,20
2024-11,21
2024-12,24
