Category: All categories

Month,infection: (United States)
2004-11,48
2004-12,47
2005-01,49
2005-02,50
2005-03,49
2005-04,50
2005-05,50
2005-06,52
2005-07,50
2005-08,45
2005-09,48
2005-10,49
2005-11,45
2005-12,49
2006-01,53
2006-02,50
2006-03,50
2006-04,49
2006-05,49
2006-06,51
2006-07,50
2006-08,51
2006-09,51
2006-10,51
2006-11,48
2006-12,48
2007-01,52
2007-02,50
2007-03,50
2007-04,49
2007-05,50
2007-06,50
2007-07,52
2007-08,53
2007-09,54
2007-10,79
2007-11,64
2007-12,52
2008-01,56
2008-02,54
2008-03,53
2008-04,53
2008-05,52
2008-06,53
2008-07,53
2008-08,53
2008-09,55
2008-10,61
2008-11,57
2008-12,55
2009-01,56
2009-02,58
2009-03,58
2009-04,56
2009-05,55
2009-06,55
2009-07,56
2009-08,58
2009-09,62
2009-10,59
2009-11,63
2009-12,56
2010-01,58
2010-02,60
2010-03,60
2010-04,60
2010-05,60
2010-06,57
2010-07,61
2010-08,61
2010-09,62
2010-10,60
2010-11,59
2010-12,59
2011-01,70
2011-02,73
2011-03,72
2011-04,71
2011-05,69
2011-06,73
2011-07,71
2011-08,68
2011-09,69
2011-10,72
2011-11,71
2011-12,69
2012-01,72
2012-02,76
2012-03,72
2012-04,72
2012-05,72
2012-06,74
2012-07,72
2012-08,72
2012-09,74
2012-10,74
2012-11,72
2012-12,71
2013-01,78
2013-02,73
2013-03,74
2013-04,69
2013-05,71
2013-06,75
2013-07,74
2013-08,73
2013-09,70
2013-10,75
2013-11,74
2013-12,69
2014-01,76
2014-02,79
2014-03,72
2014-04,73
2014-05,72
2014-06,73
2014-07,71
2014-08,72
2014-09,70
2014-10,68
2014-11,68
2014-12,72
2015-01,73
2015-02,75
2015-03,75
2015-04,72
2015-05,70
2015-06,70
2015-07,75
2015-08,72
2015-09,73
2015-10,73
2015-11,77
2015-12,72
2016-01,75
2016-02,81
2016-03,76
2016-04,76
2016-05,67
2016-06,74
2016-07,74
2016-08,73
2016-09,73
2016-10,76
2016-11,75
2016-12,72
2017-01,80
2017-02,81
2017-03,78
2017-04,78
2017-05,76
2017-06,78
2017-07,79
2017-08,73
2017-09,75
2017-10,81
2017-11,83
2017-12,83
2018-01,86
2018-02,90
2018-03,80
2018-04,81
2018-05,79
2018-06,80
2018-07,84
2018-08,86
2018-09,81
2018-10,80
2018-11,82
2018-12,89
2019-01,88
2019-02,86
2019-03,88
2019-04,83
2019-05,85
2019-06,80
2019-07,83
2019-08,80
2019-09,81
2019-10,81
2019-11,80
2019-12,82
2020-01,93
2020-02,92
2020-03,93
2020-04,78
2020-05,70
2020-06,69
2020-07,81
2020-08,74
2020-09,74
2020-10,80
2020-11,76
2020-12,76
2021-01,73
2021-02,73
2021-03,73
2021-04,77
2021-05,79
2021-06,81
2021-07,84
2021-08,93
2021-09,88
2021-10,84
2021-11,85
2021-12,96
2022-01,96
2022-02,86
2022-03,86
2022-04,88
2022-05,89
2022-06,87
2022-07,88
2022-08,92
2022-09,91
2022-10,91
2022-11,93
2022-12,100
2023-01,93
2023-02,95
2023-03,94
2023-04,92
2023-05,88
2023-06,88
2023-07,82
2023-08,81
2023-09,87
2023-10,88
2023-11,95
2023-12,98
2024-01,97
2024-02,89
2024-03,90
2024-04,87
2024-05,82
2024-06,88
2024-07,84
2024-08,80
2024-09,83
2024-10,86
2024-11,86
2024-12,95
