Category: All categories

Month,Leukemia: (United States)
2004-11,90
2004-12,88
2005-01,82
2005-02,89
2005-03,89
2005-04,98
2005-05,89
2005-06,77
2005-07,70
2005-08,73
2005-09,73
2005-10,78
2005-11,76
2005-12,74
2006-01,76
2006-02,79
2006-03,82
2006-04,77
2006-05,73
2006-06,65
2006-07,67
2006-08,68
2006-09,73
2006-10,71
2006-11,81
2006-12,63
2007-01,69
2007-02,70
2007-03,67
2007-04,66
2007-05,66
2007-06,63
2007-07,61
2007-08,58
2007-09,59
2007-10,67
2007-11,56
2007-12,58
2008-01,65
2008-02,64
2008-03,67
2008-04,72
2008-05,66
2008-06,54
2008-07,55
2008-08,57
2008-09,65
2008-10,71
2008-11,69
2008-12,59
2009-01,64
2009-02,66
2009-03,75
2009-04,71
2009-05,69
2009-06,63
2009-07,57
2009-08,60
2009-09,66
2009-10,68
2009-11,78
2009-12,58
2010-01,64
2010-02,68
2010-03,70
2010-04,72
2010-05,67
2010-06,60
2010-07,56
2010-08,57
2010-09,63
2010-10,63
2010-11,68
2010-12,58
2011-01,58
2011-02,60
2011-03,74
2011-04,64
2011-05,60
2011-06,55
2011-07,52
2011-08,61
2011-09,63
2011-10,61
2011-11,58
2011-12,55
2012-01,61
2012-02,68
2012-03,63
2012-04,68
2012-05,61
2012-06,56
2012-07,53
2012-08,57
2012-09,60
2012-10,67
2012-11,63
2012-12,61
2013-01,59
2013-02,61
2013-03,63
2013-04,61
2013-05,57
2013-06,55
2013-07,55
2013-08,54
2013-09,57
2013-10,59
2013-11,59
2013-12,56
2014-01,54
2014-02,58
2014-03,59
2014-04,64
2014-05,59
2014-06,57
2014-07,54
2014-08,53
2014-09,55
2014-10,58
2014-11,54
2014-12,49
2015-01,52
2015-02,57
2015-03,60
2015-04,59
2015-05,57
2015-06,55
2015-07,52
2015-08,51
2015-09,58
2015-10,65
2015-11,60
2015-12,55
2016-01,53
2016-02,56
2016-03,58
2016-04,57
2016-05,54
2016-06,51
2016-07,48
2016-08,49
2016-09,57
2016-10,52
2016-11,57
2016-12,61
2017-01,60
2017-02,66
2017-03,71
2017-04,85
2017-05,61
2017-06,62
2017-07,61
2017-08,61
2017-09,63
2017-10,65
2017-11,61
2017-12,60
2018-01,68
2018-02,68
2018-03,61
2018-04,68
2018-05,63
2018-06,57
2018-07,62
2018-08,60
2018-09,61
2018-10,100
2018-11,61
2018-12,62
2019-01,60
2019-02,67
2019-03,63
2019-04,60
2019-05,61
2019-06,59
2019-07,58
2019-08,56
2019-09,61
2019-10,56
2019-11,56
2019-12,54
2020-01,56
2020-02,59
2020-03,49
2020-04,44
2020-05,48
2020-06,50
2020-07,51
2020-08,49
2020-09,52
2020-10,55
2020-11,49
2020-12,49
2021-01,49
2021-02,55
2021-03,57
2021-04,57
2021-05,57
2021-06,56
2021-07,56
2021-08,56
2021-09,60
2021-10,56
2021-11,55
2021-12,54
2022-01,55
2022-02,64
2022-03,65
2022-04,62
2022-05,67
2022-06,58
2022-07,64
2022-08,67
2022-09,67
2022-10,68
2022-11,69
2022-12,66
2023-01,67
2023-02,75
2023-03,85
2023-04,76
2023-05,76
2023-06,75
2023-07,70
2023-08,66
2023-09,72
2023-10,76
2023-11,73
2023-12,65
2024-01,73
2024-02,73
2024-03,70
2024-04,80
2024-05,66
2024-06,66
2024-07,63
2024-08,66
2024-09,67
2024-10,67
2024-11,66
2024-12,67
