Category: All categories

Month,lupus: (United States)
2004-11,43
2004-12,41
2005-01,43
2005-02,47
2005-03,45
2005-04,46
2005-05,43
2005-06,47
2005-07,42
2005-08,43
2005-09,41
2005-10,50
2005-11,38
2005-12,38
2006-01,40
2006-02,43
2006-03,42
2006-04,43
2006-05,39
2006-06,40
2006-07,36
2006-08,35
2006-09,37
2006-10,38
2006-11,34
2006-12,33
2007-01,39
2007-02,42
2007-03,45
2007-04,39
2007-05,41
2007-06,37
2007-07,36
2007-08,38
2007-09,40
2007-10,43
2007-11,40
2007-12,31
2008-01,38
2008-02,38
2008-03,40
2008-04,44
2008-05,45
2008-06,37
2008-07,40
2008-08,37
2008-09,39
2008-10,40
2008-11,37
2008-12,33
2009-01,37
2009-02,38
2009-03,43
2009-04,43
2009-05,39
2009-06,46
2009-07,58
2009-08,40
2009-09,45
2009-10,43
2009-11,39
2009-12,36
2010-01,41
2010-02,40
2010-03,42
2010-04,43
2010-05,48
2010-06,58
2010-07,45
2010-08,44
2010-09,46
2010-10,45
2010-11,41
2010-12,36
2011-01,43
2011-02,41
2011-03,55
2011-04,48
2011-05,55
2011-06,49
2011-07,44
2011-08,42
2011-09,45
2011-10,45
2011-11,41
2011-12,37
2012-01,47
2012-02,46
2012-03,49
2012-04,47
2012-05,52
2012-06,43
2012-07,44
2012-08,43
2012-09,45
2012-10,43
2012-11,50
2012-12,41
2013-01,41
2013-02,44
2013-03,42
2013-04,45
2013-05,52
2013-06,44
2013-07,57
2013-08,60
2013-09,54
2013-10,54
2013-11,48
2013-12,52
2014-01,54
2014-02,45
2014-03,46
2014-04,50
2014-05,56
2014-06,50
2014-07,44
2014-08,45
2014-09,45
2014-10,42
2014-11,37
2014-12,37
2015-01,40
2015-02,41
2015-03,47
2015-04,47
2015-05,54
2015-06,44
2015-07,45
2015-08,42
2015-09,43
2015-10,100
2015-11,45
2015-12,48
2016-01,44
2016-02,46
2016-03,44
2016-04,49
2016-05,51
2016-06,44
2016-07,44
2016-08,55
2016-09,62
2016-10,50
2016-11,55
2016-12,45
2017-01,42
2017-02,44
2017-03,45
2017-04,48
2017-05,47
2017-06,44
2017-07,46
2017-08,41
2017-09,77
2017-10,51
2017-11,50
2017-12,44
2018-01,44
2018-02,44
2018-03,44
2018-04,46
2018-05,50
2018-06,44
2018-07,48
2018-08,45
2018-09,43
2018-10,48
2018-11,43
2018-12,41
2019-01,45
2019-02,45
2019-03,47
2019-04,45
2019-05,50
2019-06,43
2019-07,46
2019-08,40
2019-09,57
2019-10,45
2019-11,42
2019-12,38
2020-01,46
2020-02,44
2020-03,46
2020-04,46
2020-05,42
2020-06,42
2020-07,38
2020-08,38
2020-09,42
2020-10,45
2020-11,36
2020-12,36
2021-01,38
2021-02,40
2021-03,38
2021-04,41
2021-05,42
2021-06,40
2021-07,39
2021-08,39
2021-09,39
2021-10,38
2021-11,38
2021-12,40
2022-01,42
2022-02,46
2022-03,47
2022-04,45
2022-05,45
2022-06,48
2022-07,47
2022-08,45
2022-09,41
2022-10,41
2022-11,47
2022-12,41
2023-01,46
2023-02,60
2023-03,58
2023-04,51
2023-05,52
2023-06,50
2023-07,46
2023-08,44
2023-09,44
2023-10,46
2023-11,41
2023-12,43
2024-01,45
2024-02,46
2024-03,49
2024-04,47
2024-05,46
2024-06,49
2024-07,49
2024-08,42
2024-09,44
2024-10,44
2024-11,43
2024-12,47
