Category: All categories

Month,Malaria: (United States)
2004-11,24
2004-12,27
2005-01,32
2005-02,30
2005-03,30
2005-04,31
2005-05,29
2005-06,23
2005-07,20
2005-08,16
2005-09,18
2005-10,21
2005-11,28
2005-12,21
2006-01,22
2006-02,24
2006-03,25
2006-04,27
2006-05,25
2006-06,19
2006-07,17
2006-08,15
2006-09,18
2006-10,21
2006-11,22
2006-12,23
2007-01,22
2007-02,22
2007-03,23
2007-04,27
2007-05,24
2007-06,19
2007-07,19
2007-08,17
2007-09,19
2007-10,23
2007-11,23
2007-12,21
2008-01,20
2008-02,25
2008-03,24
2008-04,27
2008-05,23
2008-06,19
2008-07,18
2008-08,17
2008-09,17
2008-10,19
2008-11,22
2008-12,19
2009-01,19
2009-02,23
2009-03,22
2009-04,25
2009-05,23
2009-06,18
2009-07,17
2009-08,17
2009-09,17
2009-10,20
2009-11,20
2009-12,18
2010-01,19
2010-02,22
2010-03,24
2010-04,26
2010-05,22
2010-06,19
2010-07,19
2010-08,17
2010-09,19
2010-10,22
2010-11,23
2010-12,17
2011-01,21
2011-02,20
2011-03,21
2011-04,21
2011-05,20
2011-06,16
2011-07,15
2011-08,14
2011-09,15
2011-10,18
2011-11,18
2011-12,14
2012-01,17
2012-02,19
2012-03,18
2012-04,21
2012-05,19
2012-06,13
2012-07,14
2012-08,13
2012-09,15
2012-10,16
2012-11,17
2012-12,14
2013-01,16
2013-02,18
2013-03,18
2013-04,21
2013-05,20
2013-06,15
2013-07,15
2013-08,15
2013-09,16
2013-10,17
2013-11,17
2013-12,15
2014-01,15
2014-02,17
2014-03,18
2014-04,21
2014-05,19
2014-06,17
2014-07,17
2014-08,15
2014-09,17
2014-10,22
2014-11,17
2014-12,16
2015-01,15
2015-02,18
2015-03,17
2015-04,18
2015-05,18
2015-06,14
2015-07,15
2015-08,12
2015-09,15
2015-10,18
2015-11,17
2015-12,16
2016-01,14
2016-02,17
2016-03,16
2016-04,17
2016-05,16
2016-06,13
2016-07,11
2016-08,12
2016-09,13
2016-10,13
2016-11,14
2016-12,13
2017-01,14
2017-02,16
2017-03,16
2017-04,17
2017-05,16
2017-06,12
2017-07,12
2017-08,11
2017-09,13
2017-10,14
2017-11,14
2017-12,12
2018-01,13
2018-02,16
2018-03,14
2018-04,17
2018-05,17
2018-06,13
2018-07,17
2018-08,12
2018-09,14
2018-10,15
2018-11,15
2018-12,13
2019-01,14
2019-02,17
2019-03,16
2019-04,18
2019-05,17
2019-06,14
2019-07,14
2019-08,12
2019-09,14
2019-10,15
2019-11,15
2019-12,14
2020-01,14
2020-02,17
2020-03,100
2020-04,51
2020-05,21
2020-06,12
2020-07,15
2020-08,12
2020-09,12
2020-10,12
2020-11,11
2020-12,10
2021-01,10
2021-02,11
2021-03,10
2021-04,13
2021-05,11
2021-06,9
2021-07,9
2021-08,11
2021-09,12
2021-10,17
2021-11,11
2021-12,10
2022-01,11
2022-02,13
2022-03,14
2022-04,18
2022-05,16
2022-06,12
2022-07,11
2022-08,12
2022-09,13
2022-10,15
2022-11,15
2022-12,12
2023-01,13
2023-02,15
2023-03,15
2023-04,17
2023-05,16
2023-06,34
2023-07,36
2023-08,18
2023-09,18
2023-10,17
2023-11,15
2023-12,13
2024-01,15
2024-02,17
2024-03,15
2024-04,18
2024-05,17
2024-06,13
2024-07,13
2024-08,13
2024-09,15
2024-10,15
2024-11,14
2024-12,16
