Category: All categories

Month,Pneumonia: (United States)
2004-11,20
2004-12,20
2005-01,24
2005-02,25
2005-03,23
2005-04,19
2005-05,16
2005-06,13
2005-07,11
2005-08,11
2005-09,14
2005-10,17
2005-11,18
2005-12,19
2006-01,19
2006-02,21
2006-03,20
2006-04,15
2006-05,12
2006-06,11
2006-07,11
2006-08,10
2006-09,13
2006-10,16
2006-11,17
2006-12,18
2007-01,22
2007-02,21
2007-03,19
2007-04,16
2007-05,13
2007-06,11
2007-07,10
2007-08,10
2007-09,13
2007-10,19
2007-11,21
2007-12,20
2008-01,24
2008-02,29
2008-03,23
2008-04,19
2008-05,15
2008-06,11
2008-07,10
2008-08,15
2008-09,16
2008-10,20
2008-11,22
2008-12,22
2009-01,23
2009-02,27
2009-03,24
2009-04,22
2009-05,18
2009-06,16
2009-07,15
2009-08,15
2009-09,22
2009-10,32
2009-11,31
2009-12,24
2010-01,23
2010-02,27
2010-03,23
2010-04,20
2010-05,18
2010-06,15
2010-07,14
2010-08,14
2010-09,19
2010-10,24
2010-11,24
2010-12,25
2011-01,31
2011-02,35
2011-03,29
2011-04,23
2011-05,20
2011-06,16
2011-07,14
2011-08,14
2011-09,21
2011-10,24
2011-11,30
2011-12,29
2012-01,30
2012-02,31
2012-03,28
2012-04,24
2012-05,20
2012-06,18
2012-07,17
2012-08,17
2012-09,24
2012-10,28
2012-11,29
2012-12,34
2013-01,38
2013-02,32
2013-03,28
2013-04,24
2013-05,21
2013-06,17
2013-07,15
2013-08,16
2013-09,20
2013-10,24
2013-11,28
2013-12,32
2014-01,38
2014-02,31
2014-03,27
2014-04,26
2014-05,21
2014-06,17
2014-07,16
2014-08,17
2014-09,24
2014-10,27
2014-11,30
2014-12,38
2015-01,38
2015-02,36
2015-03,31
2015-04,28
2015-05,24
2015-06,20
2015-07,19
2015-08,19
2015-09,25
2015-10,30
2015-11,33
2015-12,36
2016-01,34
2016-02,37
2016-03,35
2016-04,28
2016-05,23
2016-06,19
2016-07,17
2016-08,17
2016-09,39
2016-10,30
2016-11,35
2016-12,38
2017-01,41
2017-02,42
2017-03,35
2017-04,32
2017-05,26
2017-06,24
2017-07,20
2017-08,21
2017-09,27
2017-10,32
2017-11,32
2017-12,45
2018-01,60
2018-02,50
2018-03,34
2018-04,28
2018-05,24
2018-06,21
2018-07,19
2018-08,19
2018-09,26
2018-10,30
2018-11,38
2018-12,40
2019-01,43
2019-02,42
2019-03,40
2019-04,31
2019-05,29
2019-06,25
2019-07,22
2019-08,22
2019-09,29
2019-10,36
2019-11,39
2019-12,50
2020-01,62
2020-02,64
2020-03,100
2020-04,48
2020-05,24
2020-06,20
2020-07,28
2020-08,21
2020-09,23
2020-10,30
2020-11,30
2020-12,37
2021-01,36
2021-02,28
2021-03,24
2021-04,25
2021-05,23
2021-06,22
2021-07,25
2021-08,41
2021-09,42
2021-10,36
2021-11,37
2021-12,48
2022-01,56
2022-02,36
2022-03,29
2022-04,30
2022-05,29
2022-06,27
2022-07,25
2022-08,24
2022-09,30
2022-10,36
2022-11,45
2022-12,51
2023-01,37
2023-02,36
2023-03,34
2023-04,31
2023-05,28
2023-06,25
2023-07,22
2023-08,24
2023-09,30
2023-10,38
2023-11,51
2023-12,62
2024-01,48
2024-02,41
2024-03,36
2024-04,34
2024-05,32
2024-06,29
2024-07,29
2024-08,30
2024-09,41
2024-10,73
2024-11,88
2024-12,88
