Category: All categories

Month,Sepsis: (United States)
2004-11,32
2004-12,26
2005-01,29
2005-02,33
2005-03,31
2005-04,33
2005-05,27
2005-06,27
2005-07,26
2005-08,26
2005-09,27
2005-10,33
2005-11,30
2005-12,25
2006-01,30
2006-02,34
2006-03,32
2006-04,32
2006-05,29
2006-06,27
2006-07,26
2006-08,28
2006-09,29
2006-10,33
2006-11,32
2006-12,27
2007-01,32
2007-02,34
2007-03,35
2007-04,35
2007-05,33
2007-06,27
2007-07,30
2007-08,29
2007-09,33
2007-10,36
2007-11,34
2007-12,31
2008-01,32
2008-02,34
2008-03,33
2008-04,36
2008-05,33
2008-06,29
2008-07,32
2008-08,30
2008-09,35
2008-10,34
2008-11,33
2008-12,29
2009-01,51
2009-02,43
2009-03,36
2009-04,38
2009-05,30
2009-06,38
2009-07,29
2009-08,32
2009-09,33
2009-10,34
2009-11,36
2009-12,32
2010-01,32
2010-02,35
2010-03,34
2010-04,41
2010-05,35
2010-06,32
2010-07,30
2010-08,29
2010-09,33
2010-10,35
2010-11,39
2010-12,31
2011-01,36
2011-02,39
2011-03,41
2011-04,39
2011-05,43
2011-06,36
2011-07,36
2011-08,33
2011-09,39
2011-10,40
2011-11,34
2011-12,39
2012-01,39
2012-02,41
2012-03,42
2012-04,42
2012-05,41
2012-06,35
2012-07,44
2012-08,38
2012-09,42
2012-10,41
2012-11,42
2012-12,36
2013-01,42
2013-02,46
2013-03,43
2013-04,48
2013-05,40
2013-06,38
2013-07,41
2013-08,42
2013-09,44
2013-10,45
2013-11,46
2013-12,39
2014-01,43
2014-02,45
2014-03,46
2014-04,48
2014-05,44
2014-06,49
2014-07,46
2014-08,43
2014-09,49
2014-10,49
2014-11,44
2014-12,43
2015-01,60
2015-02,50
2015-03,51
2015-04,52
2015-05,51
2015-06,49
2015-07,52
2015-08,50
2015-09,54
2015-10,58
2015-11,55
2015-12,51
2016-01,49
2016-02,57
2016-03,75
2016-04,61
2016-05,50
2016-06,59
2016-07,59
2016-08,52
2016-09,63
2016-10,56
2016-11,56
2016-12,54
2017-01,75
2017-02,78
2017-03,79
2017-04,68
2017-05,65
2017-06,67
2017-07,65
2017-08,64
2017-09,66
2017-10,63
2017-11,57
2017-12,62
2018-01,100
2018-02,87
2018-03,62
2018-04,70
2018-05,61
2018-06,57
2018-07,59
2018-08,60
2018-09,76
2018-10,63
2018-11,59
2018-12,62
2019-01,64
2019-02,67
2019-03,72
2019-04,67
2019-05,62
2019-06,65
2019-07,65
2019-08,65
2019-09,65
2019-10,63
2019-11,61
2019-12,60
2020-01,82
2020-02,72
2020-03,63
2020-04,57
2020-05,47
2020-06,51
2020-07,54
2020-08,51
2020-09,55
2020-10,56
2020-11,51
2020-12,54
2021-01,60
2021-02,64
2021-03,56
2021-04,61
2021-05,59
2021-06,66
2021-07,67
2021-08,67
2021-09,68
2021-10,88
2021-11,66
2021-12,65
2022-01,73
2022-02,80
2022-03,79
2022-04,70
2022-05,57
2022-06,77
2022-07,65
2022-08,63
2022-09,67
2022-10,68
2022-11,65
2022-12,67
2023-01,67
2023-02,73
2023-03,74
2023-04,71
2023-05,68
2023-06,70
2023-07,71
2023-08,66
2023-09,71
2023-10,72
2023-11,69
2023-12,74
2024-01,73
2024-02,74
2024-03,77
2024-04,73
2024-05,74
2024-06,69
2024-07,70
2024-08,75
2024-09,79
2024-10,74
2024-11,76
2024-12,68
