Category: All categories

Month,Stroke: (United States)
2004-11,50
2004-12,45
2005-01,43
2005-02,51
2005-03,44
2005-04,47
2005-05,46
2005-06,45
2005-07,48
2005-08,43
2005-09,43
2005-10,44
2005-11,45
2005-12,46
2006-01,61
2006-02,50
2006-03,52
2006-04,47
2006-05,43
2006-06,44
2006-07,39
2006-08,46
2006-09,43
2006-10,46
2006-11,41
2006-12,39
2007-01,42
2007-02,46
2007-03,42
2007-04,47
2007-05,44
2007-06,43
2007-07,41
2007-08,42
2007-09,43
2007-10,46
2007-11,44
2007-12,39
2008-01,45
2008-02,46
2008-03,44
2008-04,47
2008-05,46
2008-06,43
2008-07,43
2008-08,43
2008-09,45
2008-10,44
2008-11,44
2008-12,40
2009-01,43
2009-02,45
2009-03,45
2009-04,45
2009-05,44
2009-06,43
2009-07,45
2009-08,42
2009-09,45
2009-10,46
2009-11,45
2009-12,43
2010-01,48
2010-02,50
2010-03,48
2010-04,49
2010-05,52
2010-06,48
2010-07,45
2010-08,42
2010-09,44
2010-10,46
2010-11,47
2010-12,43
2011-01,47
2011-02,80
2011-03,59
2011-04,51
2011-05,47
2011-06,53
2011-07,46
2011-08,43
2011-09,47
2011-10,51
2011-11,48
2011-12,47
2012-01,51
2012-02,51
2012-03,51
2012-04,49
2012-05,48
2012-06,55
2012-07,47
2012-08,48
2012-09,49
2012-10,49
2012-11,48
2012-12,46
2013-01,48
2013-02,50
2013-03,48
2013-04,52
2013-05,50
2013-06,47
2013-07,48
2013-08,49
2013-09,49
2013-10,49
2013-11,53
2013-12,48
2014-01,49
2014-02,54
2014-03,52
2014-04,55
2014-05,53
2014-06,53
2014-07,52
2014-08,50
2014-09,52
2014-10,53
2014-11,50
2014-12,49
2015-01,50
2015-02,53
2015-03,55
2015-04,56
2015-05,54
2015-06,55
2015-07,54
2015-08,53
2015-09,59
2015-10,66
2015-11,56
2015-12,54
2016-01,51
2016-02,61
2016-03,59
2016-04,59
2016-05,61
2016-06,59
2016-07,55
2016-08,59
2016-09,61
2016-10,62
2016-11,63
2016-12,55
2017-01,58
2017-02,60
2017-03,65
2017-04,70
2017-05,69
2017-06,70
2017-07,71
2017-08,66
2017-09,64
2017-10,69
2017-11,65
2017-12,64
2018-01,66
2018-02,68
2018-03,65
2018-04,68
2018-05,67
2018-06,64
2018-07,65
2018-08,62
2018-09,62
2018-10,65
2018-11,64
2018-12,63
2019-01,64
2019-02,68
2019-03,100
2019-04,80
2019-05,74
2019-06,72
2019-07,71
2019-08,64
2019-09,69
2019-10,71
2019-11,71
2019-12,70
2020-01,69
2020-02,71
2020-03,57
2020-04,66
2020-05,64
2020-06,62
2020-07,64
2020-08,62
2020-09,71
2020-10,69
2020-11,62
2020-12,62
2021-01,63
2021-02,64
2021-03,64
2021-04,67
2021-05,67
2021-06,69
2021-07,66
2021-08,68
2021-09,64
2021-10,62
2021-11,66
2021-12,64
2022-01,73
2022-02,78
2022-03,77
2022-04,82
2022-05,72
2022-06,74
2022-07,75
2022-08,72
2022-09,73
2022-10,78
2022-11,77
2022-12,67
2023-01,79
2023-02,82
2023-03,77
2023-04,82
2023-05,79
2023-06,76
2023-07,75
2023-08,69
2023-09,72
2023-10,75
2023-11,72
2023-12,66
2024-01,70
2024-02,75
2024-03,72
2024-04,73
2024-05,73
2024-06,73
2024-07,71
2024-08,67
2024-09,69
2024-10,75
2024-11,69
2024-12,67
