Category: All categories

Month,Tumor: (United States)
2004-11,30
2004-12,26
2005-01,28
2005-02,31
2005-03,31
2005-04,30
2005-05,27
2005-06,29
2005-07,30
2005-08,29
2005-09,29
2005-10,27
2005-11,27
2005-12,24
2006-01,28
2006-02,28
2006-03,28
2006-04,28
2006-05,28
2006-06,29
2006-07,26
2006-08,27
2006-09,27
2006-10,28
2006-11,26
2006-12,24
2007-01,27
2007-02,25
2007-03,26
2007-04,29
2007-05,27
2007-06,27
2007-07,26
2007-08,27
2007-09,28
2007-10,27
2007-11,26
2007-12,24
2008-01,26
2008-02,25
2008-03,28
2008-04,27
2008-05,29
2008-06,27
2008-07,25
2008-08,28
2008-09,26
2008-10,27
2008-11,27
2008-12,24
2009-01,26
2009-02,26
2009-03,28
2009-04,26
2009-05,26
2009-06,27
2009-07,28
2009-08,28
2009-09,30
2009-10,27
2009-11,27
2009-12,26
2010-01,26
2010-02,27
2010-03,28
2010-04,27
2010-05,26
2010-06,24
2010-07,24
2010-08,23
2010-09,24
2010-10,26
2010-11,24
2010-12,21
2011-01,24
2011-02,25
2011-03,28
2011-04,25
2011-05,26
2011-06,23
2011-07,24
2011-08,23
2011-09,25
2011-10,27
2011-11,25
2011-12,22
2012-01,25
2012-02,27
2012-03,25
2012-04,28
2012-05,26
2012-06,25
2012-07,24
2012-08,36
2012-09,27
2012-10,26
2012-11,25
2012-12,23
2013-01,25
2013-02,26
2013-03,25
2013-04,25
2013-05,26
2013-06,24
2013-07,25
2013-08,24
2013-09,24
2013-10,26
2013-11,26
2013-12,22
2014-01,23
2014-02,25
2014-03,26
2014-04,27
2014-05,26
2014-06,25
2014-07,25
2014-08,24
2014-09,26
2014-10,27
2014-11,25
2014-12,24
2015-01,25
2015-02,25
2015-03,27
2015-04,28
2015-05,26
2015-06,27
2015-07,26
2015-08,25
2015-09,27
2015-10,26
2015-11,25
2015-12,25
2016-01,23
2016-02,25
2016-03,26
2016-04,25
2016-05,25
2016-06,24
2016-07,25
2016-08,24
2016-09,26
2016-10,25
2016-11,2
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,20
2019-09,5
2019-10,33
2019-11,43
2019-12,15
2020-01,6
2020-02,5
2020-03,4
2020-04,7
2020-05,7
2020-06,36
2020-07,47
2020-08,47
2020-09,52
2020-10,54
2020-11,48
2020-12,47
2021-01,48
2021-02,57
2021-03,56
2021-04,55
2021-05,55
2021-06,55
2021-07,53
2021-08,32
2021-09,32
2021-10,40
2021-11,32
2021-12,35
2022-01,47
2022-02,60
2022-03,51
2022-04,47
2022-05,62
2022-06,65
2022-07,92
2022-08,90
2022-09,83
2022-10,87
2022-11,100
2022-12,84
2023-01,82
2023-02,85
2023-03,52
2023-04,10
2023-05,22
2023-06,15
2023-07,13
2023-08,12
2023-09,10
2023-10,13
2023-11,13
2023-12,20
2024-01,14
2024-02,5
2024-03,18
2024-04,8
2024-05,20
2024-06,18
2024-07,17
2024-08,15
2024-09,18
2024-10,20
2024-11,30
2024-12,35
