Date,TheGoodDoctor,acute,angina,anti_inflammatory,autism,benign,biopsy,bmi,cellutitis,edema,embolism,epidermis,hypertension,hypotension,lesion,malignant,membrane,neutrophils,outpatient,reflux,remission,savant,surgery,sutures,Average
2017-09,49,64,63,60,0,63,67,57,76,21,56,63,42,83,69,9,86,40,0,67,0,88,78,87,53.869565217391305
2017-10,100,70,71,64,0,68,72,62,85,22,64,75,43,93,74,10,92,44,0,74,0,100,78,87,58.608695652173914
2017-11,60,68,65,56,0,61,69,43,48,18,56,46,43,85,69,10,36,35,0,72,0,72,74,84,48.26086956521739
2017-12,47,59,58,61,0,53,65,49,43,18,57,33,40,72,61,8,27,32,0,75,0,69,71,74,44.56521739130435
2018-01,71,70,62,75,0,59,71,70,75,19,63,31,43,96,64,9,29,39,0,81,0,78,80,83,52.04347826086956
2018-02,48,77,74,71,0,71,79,69,75,21,61,47,47,91,73,10,37,47,0,81,0,75,83,72,54.82608695652174
2018-03,60,75,69,68,0,71,74,64,78,17,17,36,49,63,71,10,33,48,0,78,0,91,78,36,48.95652173913044
2018-04,32,79,67,74,0,73,80,66,72,18,22,34,46,61,71,10,28,44,0,78,0,82,78,36,48.65217391304348
2018-05,17,67,61,73,0,79,74,65,95,18,21,31,39,69,73,9,26,40,0,75,0,65,79,36,47.608695652173914
2018-06,13,60,58,75,0,61,76,65,100,19,16,24,39,67,73,9,23,36,0,78,0,73,83,34,46.47826086956522
2018-07,15,60,57,75,0,59,73,69,84,19,18,17,40,78,73,8,19,36,0,79,0,74,80,38,45.91304347826087
2018-08,20,63,57,69,0,64,77,64,98,17,23,20,41,77,74,9,18,39,0,78,0,79,82,36,47.17391304347826
2018-09,67,70,65,66,0,68,73,62,66,18,18,64,43,73,73,9,25,43,0,77,0,68,73,36,47.391304347826086
2018-10,63,85,67,62,0,77,80,65,67,18,18,70,46,67,78,11,24,44,0,77,0,70,75,39,49.56521739130435
2018-11,39,74,63,64,0,78,71,58,43,15,18,42,58,62,74,10,29,41,0,76,0,67,80,35,46.0
2018-12,35,64,59,66,0,65,66,53,49,17,16,30,50,60,66,9,24,34,0,81,0,61,75,31,42.43478260869565
2019-01,46,73,64,79,0,71,77,71,51,15,19,35,58,66,70,10,28,42,0,85,0,66,81,34,47.608695652173914
2019-02,48,82,73,76,0,69,76,71,48,17,25,48,72,72,74,11,34,50,0,82,0,74,84,35,51.0
2019-03,51,78,66,78,0,66,79,67,57,17,18,35,72,76,72,10,23,47,0,84,0,66,80,34,48.91304347826087
2019-04,21,77,66,73,0,66,79,67,55,19,18,32,72,75,77,10,28,49,0,78,0,78,78,34,49.17391304347826
2019-05,15,72,62,72,0,63,80,64,75,18,17,29,69,75,72,9,25,44,0,73,0,74,78,35,48.08695652173913
2019-06,14,64,62,73,0,62,76,63,0,20,16,23,60,78,77,9,22,41,0,75,0,65,83,34,43.608695652173914
2019-07,13,61,63,77,0,59,73,65,80,18,18,15,66,81,71,9,19,43,0,78,0,72,79,37,47.130434782608695
2019-08,13,62,77,74,0,62,77,59,58,18,15,18,46,80,72,8,19,41,0,78,0,67,78,35,45.391304347826086
