Category: All categories

Month,acute: (United States)
2017-09,64
2017-10,70
2017-11,68
2017-12,59
2018-01,70
2018-02,77
2018-03,75
2018-04,79
2018-05,67
2018-06,60
2018-07,60
2018-08,63
2018-09,70
2018-10,85
2018-11,74
2018-12,64
2019-01,73
2019-02,82
2019-03,78
2019-04,77
2019-05,72
2019-06,64
2019-07,61
2019-08,62
2019-09,72
2019-10,77
2019-11,75
2019-12,66
2020-01,77
2020-02,79
2020-03,79
2020-04,79
2020-05,68
2020-06,60
2020-07,61
2020-08,64
2020-09,81
2020-10,77
2020-11,66
2020-12,63
2021-01,63
2021-02,69
2021-03,75
2021-04,74
2021-05,72
2021-06,63
2021-07,60
2021-08,65
2021-09,81
2021-10,76
2021-11,73
2021-12,66
2022-01,80
2022-02,89
2022-03,94
2022-04,92
2022-05,80
2022-06,72
2022-07,67
2022-08,72
2022-09,79
2022-10,84
2022-11,85
2022-12,74
2023-01,80
2023-02,91
2023-03,97
2023-04,88
2023-05,85
2023-06,79
2023-07,72
2023-08,75
2023-09,90
2023-10,94
2023-11,86
2023-12,85
2024-01,87
2024-02,96
2024-03,100
2024-04,92
2024-05,84
2024-06,83
2024-07,77
2024-08,85
2024-09,92
2024-10,96
2024-11,93
