Category: All categories

Month,angina: (United States)
2017-09,63
2017-10,71
2017-11,65
2017-12,58
2018-01,62
2018-02,74
2018-03,69
2018-04,67
2018-05,61
2018-06,58
2018-07,57
2018-08,57
2018-09,65
2018-10,67
2018-11,63
2018-12,59
2019-01,64
2019-02,73
2019-03,66
2019-04,66
2019-05,62
2019-06,62
2019-07,63
2019-08,77
2019-09,65
2019-10,70
2019-11,63
2019-12,57
2020-01,62
2020-02,69
2020-03,61
2020-04,64
2020-05,62
2020-06,59
2020-07,62
2020-08,60
2020-09,64
2020-10,67
2020-11,56
2020-12,59
2021-01,59
2021-02,66
2021-03,69
2021-04,61
2021-05,58
2021-06,57
2021-07,55
2021-08,59
2021-09,63
2021-10,67
2021-11,60
2021-12,55
2022-01,67
2022-02,100
2022-03,77
2022-04,73
2022-05,60
2022-06,57
2022-07,59
2022-08,59
2022-09,68
2022-10,70
2022-11,65
2022-12,61
2023-01,67
2023-02,75
2023-03,76
2023-04,65
2023-05,65
2023-06,66
2023-07,62
2023-08,58
2023-09,68
2023-10,72
2023-11,63
2023-12,60
2024-01,66
2024-02,71
2024-03,67
2024-04,65
2024-05,61
2024-06,60
2024-07,59
2024-08,57
2024-09,72
2024-10,72
2024-11,62
