Category: All categories

Month,Autism: (United States)
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,0
2022-05,0
2022-06,0
2022-07,1
2022-08,1
2022-09,1
2022-10,6
2022-11,13
2022-12,10
2023-01,11
2023-02,12
2023-03,68
2023-04,100
2023-05,90
2023-06,89
2023-07,78
2023-08,81
2023-09,82
2023-10,82
2023-11,83
2023-12,60
2024-01,50
2024-02,45
2024-03,44
2024-04,68
2024-05,50
2024-06,48
2024-07,49
2024-08,51
2024-09,55
2024-10,53
2024-11,52
