Category: All categories

Month,Benign tumor: (United States)
2017-09,63
2017-10,68
2017-11,61
2017-12,53
2018-01,59
2018-02,71
2018-03,71
2018-04,73
2018-05,79
2018-06,61
2018-07,59
2018-08,64
2018-09,68
2018-10,77
2018-11,78
2018-12,65
2019-01,71
2019-02,69
2019-03,66
2019-04,66
2019-05,63
2019-06,62
2019-07,59
2019-08,62
2019-09,68
2019-10,75
2019-11,67
2019-12,55
2020-01,63
2020-02,66
2020-03,54
2020-04,44
2020-05,46
2020-06,52
2020-07,55
2020-08,55
2020-09,63
2020-10,56
2020-11,49
2020-12,48
2021-01,45
2021-02,48
2021-03,47
2021-04,49
2021-05,46
2021-06,51
2021-07,56
2021-08,58
2021-09,59
2021-10,59
2021-11,65
2021-12,59
2022-01,67
2022-02,73
2022-03,80
2022-04,80
2022-05,69
2022-06,64
2022-07,64
2022-08,68
2022-09,75
2022-10,80
2022-11,81
2022-12,74
2023-01,78
2023-02,94
2023-03,87
2023-04,86
2023-05,85
2023-06,79
2023-07,75
2023-08,75
2023-09,87
2023-10,94
2023-11,89
2023-12,82
2024-01,87
2024-02,100
2024-03,99
2024-04,95
2024-05,87
2024-06,74
2024-07,80
2024-08,81
2024-09,90
2024-10,99
2024-11,96
