Category: All categories

Month,Biopsy: (United States)
2017-09,67
2017-10,72
2017-11,69
2017-12,65
2018-01,71
2018-02,79
2018-03,74
2018-04,80
2018-05,74
2018-06,76
2018-07,73
2018-08,77
2018-09,73
2018-10,80
2018-11,71
2018-12,66
2019-01,77
2019-02,76
2019-03,79
2019-04,79
2019-05,80
2019-06,76
2019-07,73
2019-08,77
2019-09,79
2019-10,81
2019-11,74
2019-12,66
2020-01,76
2020-02,81
2020-03,59
2020-04,41
2020-05,48
2020-06,65
2020-07,65
2020-08,66
2020-09,68
2020-10,78
2020-11,64
2020-12,63
2021-01,63
2021-02,74
2021-03,74
2021-04,80
2021-05,76
2021-06,70
2021-07,70
2021-08,77
2021-09,72
2021-10,76
2021-11,77
2021-12,68
2022-01,76
2022-02,84
2022-03,89
2022-04,85
2022-05,72
2022-06,80
2022-07,73
2022-08,82
2022-09,77
2022-10,81
2022-11,75
2022-12,71
2023-01,80
2023-02,88
2023-03,93
2023-04,91
2023-05,87
2023-06,93
2023-07,79
2023-08,90
2023-09,88
2023-10,88
2023-11,85
2023-12,77
2024-01,88
2024-02,95
2024-03,94
2024-04,97
2024-05,94
2024-06,90
2024-07,89
2024-08,95
2024-09,92
2024-10,100
2024-11,94
