Category: All categories

Month,Body mass index: (United States)
2017-09,57
2017-10,62
2017-11,43
2017-12,49
2018-01,70
2018-02,69
2018-03,64
2018-04,66
2018-05,65
2018-06,65
2018-07,69
2018-08,64
2018-09,62
2018-10,65
2018-11,58
2018-12,53
2019-01,71
2019-02,71
2019-03,67
2019-04,67
2019-05,64
2019-06,63
2019-07,65
2019-08,59
2019-09,62
2019-10,61
2019-11,59
2019-12,51
2020-01,62
2020-02,61
2020-03,48
2020-04,56
2020-05,59
2020-06,67
2020-07,65
2020-08,59
2020-09,63
2020-10,63
2020-11,51
2020-12,50
2021-01,64
2021-02,76
2021-03,100
2021-04,65
2021-05,58
2021-06,61
2021-07,56
2021-08,55
2021-09,54
2021-10,58
2021-11,51
2021-12,52
2022-01,63
2022-02,67
2022-03,66
2022-04,62
2022-05,57
2022-06,65
2022-07,61
2022-08,64
2022-09,61
2022-10,61
2022-11,57
2022-12,52
2023-01,74
2023-02,81
2023-03,70
2023-04,70
2023-05,70
2023-06,71
2023-07,67
2023-08,67
2023-09,64
2023-10,65
2023-11,63
2023-12,56
2024-01,68
2024-02,67
2024-03,74
2024-04,69
2024-05,68
2024-06,75
2024-07,71
2024-08,67
2024-09,68
2024-10,65
2024-11,63
