Category: All categories

Month,Cellutitis: (United States)
2017-09,76
2017-10,85
2017-11,48
2017-12,43
2018-01,75
2018-02,75
2018-03,78
2018-04,72
2018-05,95
2018-06,100
2018-07,84
2018-08,98
2018-09,66
2018-10,67
2018-11,43
2018-12,49
2019-01,51
2019-02,48
2019-03,57
2019-04,55
2019-05,75
2019-06,0
2019-07,80
2019-08,58
2019-09,51
2019-10,36
2019-11,61
2019-12,43
2020-01,62
2020-02,57
2020-03,49
2020-04,45
2020-05,72
2020-06,33
2020-07,49
2020-08,76
2020-09,42
2020-10,50
2020-11,40
2020-12,44
2021-01,37
2021-02,63
2021-03,0
2021-04,64
2021-05,50
2021-06,66
2021-07,57
2021-08,48
2021-09,85
2021-10,53
2021-11,64
2021-12,71
2022-01,62
2022-02,48
2022-03,51
2022-04,59
2022-05,0
2022-06,66
2022-07,58
2022-08,64
2022-09,45
2022-10,41
2022-11,44
2022-12,61
2023-01,42
2023-02,0
2023-03,70
2023-04,67
2023-05,51
2023-06,73
2023-07,61
2023-08,88
2023-09,56
2023-10,65
2023-11,61
2023-12,62
2024-01,69
2024-02,39
2024-03,69
2024-04,59
2024-05,61
2024-06,75
2024-07,61
2024-08,86
2024-09,0
2024-10,59
2024-11,67
