Category: All categories

Month,Edema: (United States)
2017-09,21
2017-10,22
2017-11,18
2017-12,18
2018-01,19
2018-02,21
2018-03,17
2018-04,18
2018-05,18
2018-06,19
2018-07,19
2018-08,17
2018-09,18
2018-10,18
2018-11,15
2018-12,17
2019-01,15
2019-02,17
2019-03,17
2019-04,19
2019-05,18
2019-06,20
2019-07,18
2019-08,18
2019-09,18
2019-10,19
2019-11,15
2019-12,33
2020-01,95
2020-02,100
2020-03,92
2020-04,63
2020-05,51
2020-06,19
2020-07,18
2020-08,16
2020-09,17
2020-10,16
2020-11,14
2020-12,13
2021-01,15
2021-02,19
2021-03,21
2021-04,21
2021-05,20
2021-06,26
2021-07,22
2021-08,22
2021-09,22
2021-10,22
2021-11,21
2021-12,20
2022-01,21
2022-02,27
2022-03,25
2022-04,23
2022-05,22
2022-06,21
2022-07,20
2022-08,20
2022-09,21
2022-10,21
2022-11,21
2022-12,19
2023-01,19
2023-02,24
2023-03,24
2023-04,24
2023-05,24
2023-06,26
2023-07,24
2023-08,23
2023-09,24
2023-10,25
2023-11,26
2023-12,23
2024-01,26
2024-02,28
2024-03,46
2024-04,58
2024-05,69
2024-06,74
2024-07,91
2024-08,77
2024-09,50
2024-10,50
2024-11,28
