Category: All categories

Month,Embolism: (United States)
2017-09,56
2017-10,64
2017-11,56
2017-12,57
2018-01,63
2018-02,61
2018-03,17
2018-04,22
2018-05,21
2018-06,16
2018-07,18
2018-08,23
2018-09,18
2018-10,18
2018-11,18
2018-12,16
2019-01,19
2019-02,25
2019-03,18
2019-04,18
2019-05,17
2019-06,16
2019-07,18
2019-08,15
2019-09,18
2019-10,20
2019-11,15
2019-12,15
2020-01,17
2020-02,18
2020-03,16
2020-04,16
2020-05,14
2020-06,14
2020-07,15
2020-08,14
2020-09,16
2020-10,18
2020-11,17
2020-12,16
2021-01,96
2021-02,76
2021-03,62
2021-04,60
2021-05,24
2021-06,20
2021-07,21
2021-08,22
2021-09,24
2021-10,26
2021-11,26
2021-12,19
2022-01,32
2022-02,48
2022-03,41
2022-04,40
2022-05,52
2022-06,45
2022-07,34
2022-08,31
2022-09,38
2022-10,59
2022-11,50
2022-12,45
2023-01,48
2023-02,51
2023-03,64
2023-04,55
2023-05,71
2023-06,59
2023-07,50
2023-08,64
2023-09,69
2023-10,68
2023-11,63
2023-12,68
2024-01,79
2024-02,83
2024-03,80
2024-04,78
2024-05,76
2024-06,66
2024-07,70
2024-08,100
2024-09,71
2024-10,74
2024-11,46
