Category: All categories

Month,Hypertension: (United States)
2017-09,42
2017-10,43
2017-11,43
2017-12,40
2018-01,43
2018-02,47
2018-03,49
2018-04,46
2018-05,39
2018-06,39
2018-07,40
2018-08,41
2018-09,43
2018-10,46
2018-11,58
2018-12,50
2019-01,58
2019-02,72
2019-03,72
2019-04,72
2019-05,69
2019-06,60
2019-07,66
2019-08,46
2019-09,48
2019-10,48
2019-11,48
2019-12,48
2020-01,55
2020-02,61
2020-03,57
2020-04,55
2020-05,50
2020-06,49
2020-07,53
2020-08,52
2020-09,55
2020-10,60
2020-11,52
2020-12,54
2021-01,64
2021-02,80
2021-03,91
2021-04,84
2021-05,78
2021-06,72
2021-07,65
2021-08,65
2021-09,57
2021-10,61
2021-11,60
2021-12,62
2022-01,75
2022-02,83
2022-03,82
2022-04,78
2022-05,59
2022-06,68
2022-07,72
2022-08,70
2022-09,71
2022-10,88
2022-11,85
2022-12,89
2023-01,95
2023-02,100
2023-03,68
2023-04,56
2023-05,54
2023-06,51
2023-07,48
2023-08,47
2023-09,49
2023-10,54
2023-11,53
2023-12,55
2024-01,58
2024-02,61
2024-03,58
2024-04,57
2024-05,53
2024-06,47
2024-07,47
2024-08,46
2024-09,49
2024-10,53
2024-11,50
