Category: All categories

Month,Hypotension: (United States)
2017-09,83
2017-10,93
2017-11,85
2017-12,72
2018-01,96
2018-02,91
2018-03,63
2018-04,61
2018-05,69
2018-06,67
2018-07,78
2018-08,77
2018-09,73
2018-10,67
2018-11,62
2018-12,60
2019-01,66
2019-02,72
2019-03,76
2019-04,75
2019-05,75
2019-06,78
2019-07,81
2019-08,80
2019-09,76
2019-10,71
2019-11,65
2019-12,59
2020-01,71
2020-02,77
2020-03,66
2020-04,70
2020-05,74
2020-06,73
2020-07,76
2020-08,69
2020-09,68
2020-10,68
2020-11,60
2020-12,59
2021-01,67
2021-02,76
2021-03,72
2021-04,75
2021-05,76
2021-06,80
2021-07,78
2021-08,86
2021-09,81
2021-10,74
2021-11,67
2021-12,67
2022-01,81
2022-02,93
2022-03,95
2022-04,90
2022-05,91
2022-06,97
2022-07,100
2022-08,99
2022-09,92
2022-10,90
2022-11,81
2022-12,77
2023-01,89
2023-02,100
2023-03,94
2023-04,92
2023-05,97
2023-06,99
2023-07,100
2023-08,98
2023-09,97
2023-10,94
2023-11,89
2023-12,81
2024-01,85
2024-02,92
2024-03,94
2024-04,94
2024-05,94
2024-06,99
2024-07,97
2024-08,98
2024-09,97
2024-10,98
2024-11,88
