Category: All categories

Month,Lesion: (United States)
2017-09,69
2017-10,74
2017-11,69
2017-12,61
2018-01,64
2018-02,73
2018-03,71
2018-04,71
2018-05,73
2018-06,73
2018-07,73
2018-08,74
2018-09,73
2018-10,78
2018-11,74
2018-12,66
2019-01,70
2019-02,74
2019-03,72
2019-04,77
2019-05,72
2019-06,77
2019-07,71
2019-08,72
2019-09,79
2019-10,80
2019-11,72
2019-12,64
2020-01,71
2020-02,79
2020-03,61
2020-04,57
2020-05,56
2020-06,66
2020-07,72
2020-08,71
2020-09,74
2020-10,77
2020-11,67
2020-12,62
2021-01,66
2021-02,74
2021-03,74
2021-04,72
2021-05,75
2021-06,76
2021-07,75
2021-08,76
2021-09,78
2021-10,80
2021-11,78
2021-12,70
2022-01,73
2022-02,88
2022-03,90
2022-04,82
2022-05,79
2022-06,79
2022-07,84
2022-08,95
2022-09,86
2022-10,85
2022-11,83
2022-12,71
2023-01,81
2023-02,86
2023-03,94
2023-04,89
2023-05,90
2023-06,91
2023-07,86
2023-08,93
2023-09,93
2023-10,97
2023-11,93
2023-12,81
2024-01,85
2024-02,95
2024-03,96
2024-04,100
2024-05,94
2024-06,87
2024-07,88
2024-08,91
2024-09,95
2024-10,100
2024-11,91
