Category: All categories

Month,malignant: (United States)
2017-09,9
2017-10,10
2017-11,10
2017-12,8
2018-01,9
2018-02,10
2018-03,10
2018-04,10
2018-05,9
2018-06,9
2018-07,8
2018-08,9
2018-09,9
2018-10,11
2018-11,10
2018-12,9
2019-01,10
2019-02,11
2019-03,10
2019-04,10
2019-05,9
2019-06,9
2019-07,9
2019-08,8
2019-09,10
2019-10,11
2019-11,9
2019-12,8
2020-01,10
2020-02,10
2020-03,8
2020-04,8
2020-05,8
2020-06,8
2020-07,9
2020-08,8
2020-09,10
2020-10,10
2020-11,9
2020-12,8
2021-01,8
2021-02,10
2021-03,9
2021-04,10
2021-05,9
2021-06,9
2021-07,9
2021-08,13
2021-09,100
2021-10,27
2021-11,13
2021-12,12
2022-01,13
2022-02,16
2022-03,14
2022-04,13
2022-05,12
2022-06,11
2022-07,10
2022-08,10
2022-09,12
2022-10,14
2022-11,12
2022-12,11
2023-01,12
2023-02,13
2023-03,12
2023-04,12
2023-05,12
2023-06,11
2023-07,16
2023-08,14
2023-09,14
2023-10,14
2023-11,13
2023-12,11
2024-01,15
2024-02,14
2024-03,12
2024-04,13
2024-05,12
2024-06,11
2024-07,11
2024-08,11
2024-09,13
2024-10,15
2024-11,12
