Category: All categories

Month,reflux: (United States)
2017-09,67
2017-10,74
2017-11,72
2017-12,75
2018-01,81
2018-02,81
2018-03,78
2018-04,78
2018-05,75
2018-06,78
2018-07,79
2018-08,78
2018-09,77
2018-10,77
2018-11,76
2018-12,81
2019-01,85
2019-02,82
2019-03,84
2019-04,78
2019-05,73
2019-06,75
2019-07,78
2019-08,78
2019-09,77
2019-10,77
2019-11,78
2019-12,81
2020-01,89
2020-02,84
2020-03,83
2020-04,97
2020-05,91
2020-06,84
2020-07,94
2020-08,90
2020-09,85
2020-10,93
2020-11,84
2020-12,90
2021-01,95
2021-02,94
2021-03,94
2021-04,90
2021-05,88
2021-06,89
2021-07,86
2021-08,93
2021-09,86
2021-10,84
2021-11,84
2021-12,86
2022-01,98
2022-02,99
2022-03,96
2022-04,92
2022-05,86
2022-06,90
2022-07,91
2022-08,89
2022-09,83
2022-10,85
2022-11,81
2022-12,85
2023-01,100
2023-02,98
2023-03,94
2023-04,93
2023-05,91
2023-06,94
2023-07,88
2023-08,96
2023-09,88
2023-10,87
2023-11,95
2023-12,90
2024-01,94
2024-02,93
2024-03,91
2024-04,88
2024-05,84
2024-06,86
2024-07,89
2024-08,92
2024-09,88
2024-10,91
2024-11,92
