Category: All categories

Month,Remission: (United States)
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,30
2020-09,65
2020-10,74
2020-11,64
2020-12,62
2021-01,66
2021-02,81
2021-03,75
2021-04,68
2021-05,71
2021-06,69
2021-07,67
2021-08,75
2021-09,80
2021-10,72
2021-11,75
2021-12,77
2022-01,78
2022-02,85
2022-03,78
2022-04,87
2022-05,75
2022-06,100
2022-07,72
2022-08,82
2022-09,80
2022-10,82
2022-11,81
2022-12,74
2023-01,84
2023-02,90
2023-03,88
2023-04,93
2023-05,85
2023-06,83
2023-07,83
2023-08,81
2023-09,91
2023-10,99
2023-11,85
2023-12,82
2024-01,88
2024-02,90
2024-03,94
2024-04,86
2024-05,91
2024-06,75
2024-07,84
2024-08,81
2024-09,89
2024-10,93
2024-11,96
