Category: All categories

Month,Savant syndrome: (United States)
2017-09,88
2017-10,100
2017-11,72
2017-12,69
2018-01,78
2018-02,75
2018-03,91
2018-04,82
2018-05,65
2018-06,73
2018-07,74
2018-08,79
2018-09,68
2018-10,70
2018-11,67
2018-12,61
2019-01,66
2019-02,74
2019-03,66
2019-04,78
2019-05,74
2019-06,65
2019-07,72
2019-08,67
2019-09,67
2019-10,68
2019-11,64
2019-12,64
2020-01,69
2020-02,69
2020-03,57
2020-04,91
2020-05,68
2020-06,54
2020-07,54
2020-08,62
2020-09,59
2020-10,53
2020-11,53
2020-12,52
2021-01,47
2021-02,60
2021-03,56
2021-04,50
2021-05,47
2021-06,40
2021-07,43
2021-08,62
2021-09,44
2021-10,44
2021-11,45
2021-12,44
2022-01,57
2022-02,55
2022-03,51
2022-04,55
2022-05,46
2022-06,47
2022-07,52
2022-08,48
2022-09,42
2022-10,49
2022-11,48
2022-12,53
2023-01,54
2023-02,55
2023-03,54
2023-04,53
2023-05,63
2023-06,57
2023-07,44
2023-08,51
2023-09,41
2023-10,47
2023-11,45
2023-12,50
2024-01,50
2024-02,56
2024-03,52
2024-04,52
2024-05,51
2024-06,48
2024-07,45
2024-08,42
2024-09,42
2024-10,45
2024-11,49
