Category: All categories

Month,Surgery: (United States)
2017-09,78
2017-10,78
2017-11,74
2017-12,71
2018-01,80
2018-02,83
2018-03,78
2018-04,78
2018-05,79
2018-06,83
2018-07,80
2018-08,82
2018-09,73
2018-10,75
2018-11,80
2018-12,75
2019-01,81
2019-02,84
2019-03,80
2019-04,78
2019-05,78
2019-06,83
2019-07,79
2019-08,78
2019-09,76
2019-10,81
2019-11,80
2019-12,75
2020-01,86
2020-02,86
2020-03,77
2020-04,74
2020-05,74
2020-06,79
2020-07,85
2020-08,79
2020-09,78
2020-10,90
2020-11,81
2020-12,82
2021-01,93
2021-02,98
2021-03,92
2021-04,100
2021-05,90
2021-06,89
2021-07,87
2021-08,88
2021-09,85
2021-10,85
2021-11,87
2021-12,87
2022-01,97
2022-02,94
2022-03,95
2022-04,86
2022-05,85
2022-06,93
2022-07,88
2022-08,89
2022-09,86
2022-10,87
2022-11,83
2022-12,82
2023-01,87
2023-02,95
2023-03,96
2023-04,91
2023-05,94
2023-06,95
2023-07,95
2023-08,91
2023-09,90
2023-10,91
2023-11,91
2023-12,88
2024-01,95
2024-02,95
2024-03,94
2024-04,88
2024-05,89
2024-06,87
2024-07,90
2024-08,89
2024-09,85
2024-10,89
2024-11,94
