Category: All categories

Month,Surgical suture: (United States)
2017-09,87
2017-10,87
2017-11,84
2017-12,74
2018-01,83
2018-02,72
2018-03,36
2018-04,36
2018-05,36
2018-06,34
2018-07,38
2018-08,36
2018-09,36
2018-10,39
2018-11,35
2018-12,31
2019-01,34
2019-02,35
2019-03,34
2019-04,34
2019-05,35
2019-06,34
2019-07,37
2019-08,35
2019-09,36
2019-10,37
2019-11,36
2019-12,32
2020-01,35
2020-02,38
2020-03,31
2020-04,28
2020-05,28
2020-06,34
2020-07,40
2020-08,72
2020-09,99
2020-10,100
2020-11,90
2020-12,93
2021-01,93
2021-02,39
2021-03,38
2021-04,48
2021-05,37
2021-06,37
2021-07,37
2021-08,38
2021-09,37
2021-10,39
2021-11,37
2021-12,34
2022-01,38
2022-02,47
2022-03,43
2022-04,39
2022-05,38
2022-06,39
2022-07,41
2022-08,40
2022-09,41
2022-10,40
2022-11,38
2022-12,35
2023-01,39
2023-02,43
2023-03,42
2023-04,40
2023-05,41
2023-06,40
2023-07,40
2023-08,38
2023-09,43
2023-10,45
2023-11,46
2023-12,38
2024-01,41
2024-02,46
2024-03,49
2024-04,44
2024-05,45
2024-06,45
2024-07,44
2024-08,45
2024-09,48
2024-10,49
2024-11,77
