Category: All categories

Month,The Good Doctor: (United States)
2017-09,49
2017-10,100
2017-11,60
2017-12,47
2018-01,71
2018-02,48
2018-03,60
2018-04,32
2018-05,17
2018-06,13
2018-07,15
2018-08,20
2018-09,67
2018-10,63
2018-11,39
2018-12,35
2019-01,46
2019-02,48
2019-03,51
2019-04,21
2019-05,15
2019-06,14
2019-07,13
2019-08,13
2019-09,32
2019-10,50
2019-11,45
2019-12,32
2020-01,43
2020-02,39
2020-03,58
2020-04,49
2020-05,19
2020-06,15
2020-07,15
2020-08,16
2020-09,19
2020-10,24
2020-11,73
2020-12,46
2021-01,54
2021-02,53
2021-03,44
2021-04,40
2021-05,42
2021-06,38
2021-07,17
2021-08,25
2021-09,33
2021-10,40
2021-11,38
2021-12,22
2022-01,21
2022-02,15
2022-03,28
2022-04,24
2022-05,30
2022-06,15
2022-07,13
2022-08,16
2022-09,18
2022-10,32
2022-11,29
2022-12,23
2023-01,24
2023-02,24
2023-03,27
2023-04,29
2023-05,44
2023-06,27
2023-07,20
2023-08,17
2023-09,13
2023-10,13
2023-11,20
2023-12,9
2024-01,15
2024-02,25
2024-03,22
2024-04,32
2024-05,34
2024-06,20
2024-07,17
2024-08,12
2024-09,10
2024-10,9
2024-11,8
